comparison,set,horizon,delta_nrmse,capacity_gap,nonlinear_demand
dual_kernel vs single_kernel,F,1,-0.0005015559402771,-0.12005895818066303,0.0001258841555319
single_kernel vs AB_noaux,F,1,0.014638445747542,0.6996528443937191,0.0001258841555319
single_kernel vs ESN,F,1,-0.0090605281274107,2.600528836979517,0.0001258841555319
dual_kernel vs single_kernel,F,2,-0.0006039510248843,-0.12005895818066303,0.0001258841555319
single_kernel vs AB_noaux,F,2,0.0177863889775906,0.6996528443937191,0.0001258841555319
single_kernel vs ESN,F,2,-0.0066745289067258,2.600528836979517,0.0001258841555319
dual_kernel vs single_kernel,F,4,-0.0009928733006689,-0.12005895818066303,0.0001258841555319
single_kernel vs AB_noaux,F,4,0.0071077908297923,0.6996528443937191,0.0001258841555319
single_kernel vs ESN,F,4,-0.00104249976142,2.600528836979517,0.0001258841555319
dual_kernel vs single_kernel,F,8,-0.0002016266147804,-0.12005895818066303,0.0001258841555319
single_kernel vs AB_noaux,F,8,0.0037653617298679,0.6996528443937191,0.0001258841555319
single_kernel vs ESN,F,8,0.0115872854746747,2.600528836979517,0.0001258841555319
dual_kernel vs single_kernel,S,1,-0.0016139027344943,-0.12005895818066303,0.0
single_kernel vs AB_noaux,S,1,0.063719064220977,0.6996528443937191,0.0
single_kernel vs ESN,S,1,-0.0094113148728671,2.600528836979517,0.0
dual_kernel vs single_kernel,S,2,-0.0033635643993258,-0.12005895818066303,0.0
single_kernel vs AB_noaux,S,2,0.0888889946413231,0.6996528443937191,0.0
single_kernel vs ESN,S,2,-0.0149579133201233,2.600528836979517,0.0
dual_kernel vs single_kernel,S,4,-0.0030172036890955,-0.12005895818066303,0.0
single_kernel vs AB_noaux,S,4,0.0454905597688303,0.6996528443937191,0.0
single_kernel vs ESN,S,4,-0.0329249146886301,2.600528836979517,0.0
dual_kernel vs single_kernel,S,8,0.0002132651692151,-0.12005895818066303,0.0
single_kernel vs AB_noaux,S,8,-0.003306268750741,0.6996528443937191,0.0
single_kernel vs ESN,S,8,-0.0120405812549233,2.600528836979517,0.0
dual_kernel vs single_kernel,Z,1,-0.0014699924124903,-0.12005895818066303,0.0002437196600824
single_kernel vs AB_noaux,Z,1,0.038608004598053,0.6996528443937191,0.0002437196600824
single_kernel vs ESN,Z,1,-0.0064083693571277,2.600528836979517,0.0002437196600824
dual_kernel vs single_kernel,Z,2,-0.0017401483235289,-0.12005895818066303,0.0002437196600824
single_kernel vs AB_noaux,Z,2,0.0436598950239677,0.6996528443937191,0.0002437196600824
single_kernel vs ESN,Z,2,-0.0081344268330448,2.600528836979517,0.0002437196600824
dual_kernel vs single_kernel,Z,4,-0.0005699567519301,-0.12005895818066303,0.0002437196600824
single_kernel vs AB_noaux,Z,4,0.0095747859325768,0.6996528443937191,0.0002437196600824
single_kernel vs ESN,Z,4,-0.0049317179797564,2.600528836979517,0.0002437196600824
dual_kernel vs single_kernel,Z,8,0.0006236336829231,-0.12005895818066303,0.0002437196600824
single_kernel vs AB_noaux,Z,8,0.0023227555487529,0.6996528443937191,0.0002437196600824
single_kernel vs ESN,Z,8,0.0037414946890064,2.600528836979517,0.0002437196600824
