comparison,set,horizon,delta_nrmse,capacity_gap,nonlinear_demand
dual_kernel vs single_kernel,F,1,-0.0023582630055264,-0.11001318150764261,0.0001258841555319
single_kernel vs AB_noaux,F,1,0.0182769457694726,0.6855292979776029,0.0001258841555319
single_kernel vs ESN,F,1,-0.0516574032942283,2.606477155278046,0.0001258841555319
dual_kernel vs single_kernel,F,2,-0.0013513084056628,-0.11001318150764261,0.0001258841555319
single_kernel vs AB_noaux,F,2,0.0189186496118107,0.6855292979776029,0.0001258841555319
single_kernel vs ESN,F,2,-0.0349542390462946,2.606477155278046,0.0001258841555319
dual_kernel vs single_kernel,F,4,0.000371680890869,-0.11001318150764261,0.0001258841555319
single_kernel vs AB_noaux,F,4,0.0055566557201174,0.6855292979776029,0.0001258841555319
single_kernel vs ESN,F,4,-0.008636984473469,2.606477155278046,0.0001258841555319
dual_kernel vs single_kernel,F,8,0.003846689585993,-0.11001318150764261,0.0001258841555319
single_kernel vs AB_noaux,F,8,0.0026028875875552,0.6855292979776029,0.0001258841555319
single_kernel vs ESN,F,8,0.0209713780859054,2.606477155278046,0.0001258841555319
dual_kernel vs single_kernel,S,1,-0.0007408801526879,-0.11001318150764261,0.0
single_kernel vs AB_noaux,S,1,0.0646524764381696,0.6855292979776029,0.0
single_kernel vs ESN,S,1,-0.0224776703971478,2.606477155278046,0.0
dual_kernel vs single_kernel,S,2,-0.0015712574037741,-0.11001318150764261,0.0
single_kernel vs AB_noaux,S,2,0.0881676661589178,0.6855292979776029,0.0
single_kernel vs ESN,S,2,-0.0190242830375411,2.606477155278046,0.0
dual_kernel vs single_kernel,S,4,-0.0014306195777468,-0.11001318150764261,0.0
single_kernel vs AB_noaux,S,4,0.0464125458969087,0.6855292979776029,0.0
single_kernel vs ESN,S,4,-0.0191291488535338,2.606477155278046,0.0
dual_kernel vs single_kernel,S,8,0.002056279103167,-0.11001318150764261,0.0
single_kernel vs AB_noaux,S,8,-0.0048400586171476,0.6855292979776029,0.0
single_kernel vs ESN,S,8,0.0064004478032347,2.606477155278046,0.0
dual_kernel vs single_kernel,Z,1,-0.0015857608280727,-0.11001318150764261,0.0002437196600824
single_kernel vs AB_noaux,Z,1,0.0417546027874943,0.6855292979776029,0.0002437196600824
single_kernel vs ESN,Z,1,-0.0052746357565801,2.606477155278046,0.0002437196600824
dual_kernel vs single_kernel,Z,2,-0.0019740519961275,-0.11001318150764261,0.0002437196600824
single_kernel vs AB_noaux,Z,2,0.048033555692082,0.6855292979776029,0.0002437196600824
single_kernel vs ESN,Z,2,-0.0044638084603155,2.606477155278046,0.0002437196600824
dual_kernel vs single_kernel,Z,4,-0.0008866658357634,-0.11001318150764261,0.0002437196600824
single_kernel vs AB_noaux,Z,4,0.0110938430874806,0.6855292979776029,0.0002437196600824
single_kernel vs ESN,Z,4,0.0087290944115338,2.606477155278046,0.0002437196600824
dual_kernel vs single_kernel,Z,8,0.0014246050740938,-0.11001318150764261,0.0002437196600824
single_kernel vs AB_noaux,Z,8,0.0028000910688681,0.6855292979776029,0.0002437196600824
single_kernel vs ESN,Z,8,0.0281593356582487,2.606477155278046,0.0002437196600824
