comparison,set,horizon,delta_nrmse,capacity_gap,nonlinear_demand
dual_kernel vs single_kernel,F,1,-0.0021688719740348,-0.11001318150764261,0.0001258841555319
single_kernel vs AB_noaux,F,1,0.0180712390074555,0.6855292979776029,0.0001258841555319
single_kernel vs ESN,F,1,-0.0517876516130209,2.606477155278046,0.0001258841555319
dual_kernel vs single_kernel,F,2,-0.001189788539176,-0.11001318150764261,0.0001258841555319
single_kernel vs AB_noaux,F,2,0.0186084612668242,0.6855292979776029,0.0001258841555319
single_kernel vs ESN,F,2,-0.0331420270566222,2.606477155278046,0.0001258841555319
dual_kernel vs single_kernel,F,4,0.0002460342075847,-0.11001318150764261,0.0001258841555319
single_kernel vs AB_noaux,F,4,0.0057122955383785,0.6855292979776029,0.0001258841555319
single_kernel vs ESN,F,4,-0.0071852860967073,2.606477155278046,0.0001258841555319
dual_kernel vs single_kernel,F,8,0.0037862923490467,-0.11001318150764261,0.0001258841555319
single_kernel vs AB_noaux,F,8,0.0025053276551736,0.6855292979776029,0.0001258841555319
single_kernel vs ESN,F,8,0.0253303279685609,2.606477155278046,0.0001258841555319
dual_kernel vs single_kernel,S,1,-0.0007454527039548,-0.11001318150764261,0.0
single_kernel vs AB_noaux,S,1,0.0646728945403413,0.6855292979776029,0.0
single_kernel vs ESN,S,1,-0.0224284507654444,2.606477155278046,0.0
dual_kernel vs single_kernel,S,2,-0.0015443700404148,-0.11001318150764261,0.0
single_kernel vs AB_noaux,S,2,0.0882030649430718,0.6855292979776029,0.0
single_kernel vs ESN,S,2,-0.0188935252297076,2.606477155278046,0.0
dual_kernel vs single_kernel,S,4,-0.0015072780886499,-0.11001318150764261,0.0
single_kernel vs AB_noaux,S,4,0.046466769164977,0.6855292979776029,0.0
single_kernel vs ESN,S,4,-0.0188915776688499,2.606477155278046,0.0
dual_kernel vs single_kernel,S,8,0.0017255446723123,-0.11001318150764261,0.0
single_kernel vs AB_noaux,S,8,-0.0047879683795472,0.6855292979776029,0.0
single_kernel vs ESN,S,8,-0.0032173670324244,2.606477155278046,0.0
dual_kernel vs single_kernel,Z,1,-0.0015808423692018,-0.11001318150764261,0.0002437196600824
single_kernel vs AB_noaux,Z,1,0.0417269750356744,0.6855292979776029,0.0002437196600824
single_kernel vs ESN,Z,1,-0.0052655286032849,2.606477155278046,0.0002437196600824
dual_kernel vs single_kernel,Z,2,-0.0020003013343726,-0.11001318150764261,0.0002437196600824
single_kernel vs AB_noaux,Z,2,0.0480318582751893,0.6855292979776029,0.0002437196600824
single_kernel vs ESN,Z,2,-0.0044624676904839,2.606477155278046,0.0002437196600824
dual_kernel vs single_kernel,Z,4,-0.0008992385202533,-0.11001318150764261,0.0002437196600824
single_kernel vs AB_noaux,Z,4,0.0111206815404862,0.6855292979776029,0.0002437196600824
single_kernel vs ESN,Z,4,0.0087482676027562,2.606477155278046,0.0002437196600824
dual_kernel vs single_kernel,Z,8,0.0011188558252888,-0.11001318150764261,0.0002437196600824
single_kernel vs AB_noaux,Z,8,0.0031440947804495,0.6855292979776029,0.0002437196600824
single_kernel vs ESN,Z,8,0.02817184354692,2.606477155278046,0.0002437196600824
