comparison,n_segments,mean_diff_rmse_comparator_minus_state,median_diff,ci95_lo,ci95_hi,p_wilcoxon,p_ttest,cohen_dz,wins_state,win_fraction_state,set,horizon,p_holm
dual_kernel vs single_kernel,20,-0.00216887197403486,-0.0018653633595698688,-0.0029407263116894822,-0.0014792718989334373,1.9073486328125e-05,2.032851100508004e-05,-1.2565030777684356,2,0.1,F,1,0.000514984130859375
single_kernel vs AB_noaux,20,0.018071239007455588,0.01920482339599079,0.015544552559113217,0.020534815474215394,1.9073486328125e-06,2.3922028779400176e-11,3.083627506550112,20,1.0,F,1,6.866455078125e-05
single_kernel vs ESN,20,-0.051787651613020916,-0.03367797263894591,-0.0794983504211313,-0.03374471947878897,1.9073486328125e-06,0.0005266954506662023,-0.9311302321491584,0,0.0,F,1,6.866455078125e-05
dual_kernel vs single_kernel,20,-0.0011897885391760703,-0.0013065919151070415,-0.0017209705560418142,-0.0006346152996856912,0.0019855499267578125,0.0005101163212029952,-0.9342642147587301,2,0.1,F,2,0.03971099853515625
single_kernel vs AB_noaux,20,0.018608461266824243,0.021200901741276867,0.01374581913565188,0.02324185401767548,1.33514404296875e-05,4.6007134856409274e-07,1.6695152902442714,18,0.9,F,2,0.00037384033203125
single_kernel vs ESN,20,-0.03314202705662221,-0.029186671612602244,-0.04310205622464983,-0.02553452885993504,1.9073486328125e-06,8.249100545005511e-07,-1.6024955894490354,0,0.0,F,2,6.866455078125e-05
dual_kernel vs single_kernel,20,0.00024603420758473603,0.0006696302313282665,-0.0014304568220856763,0.001717794246175536,0.3117942810058594,0.7661831052139579,0.06745472605142187,13,0.65,F,4,1.0
single_kernel vs AB_noaux,20,0.0057122955383785284,0.012391683827882138,-0.00359326870177743,0.013313119888185551,0.058258056640625,0.2136573876042786,0.2877138791722482,16,0.8,F,4,0.5848617553710938
single_kernel vs ESN,20,-0.007185286096707361,-0.00857034389986866,-0.015254517537282575,0.004429276810036286,0.001209259033203125,0.18121634931681965,-0.31035364369341867,3,0.15,F,4,0.02660369873046875
dual_kernel vs single_kernel,20,0.0037862923490467604,0.003178408196404081,0.0005877831494248393,0.007205475919122689,0.03276824951171875,0.042388613268360735,0.4865428013542904,15,0.75,F,8,0.4436302185058594
single_kernel vs AB_noaux,20,0.002505327655173617,0.002111195297437085,-0.001310654499009954,0.0062383964342488454,0.2773551940917969,0.21974142425233667,0.2837735721168938,12,0.6,F,8,1.0
single_kernel vs ESN,20,0.025330327968560988,0.011088322068461498,0.007505915437037008,0.05228134179544993,0.0042209625244140625,0.045457482753481236,0.47873436446174383,14,0.7,F,8,0.08019828796386719
dual_kernel vs single_kernel,20,-0.0007454527039548644,-0.0008761589005461812,-0.0014847630808865868,7.394336523318306e-05,0.029575347900390625,0.08006883074619947,-0.4134651972292775,5,0.25,S,1,0.4436302185058594
single_kernel vs AB_noaux,20,0.06467289454034134,0.06595758763049346,0.058469964764267954,0.07089662495365576,1.9073486328125e-06,3.16671351524463e-14,4.473534308054183,20,1.0,S,1,6.866455078125e-05
single_kernel vs ESN,20,-0.022428450765444457,-0.017589687177105982,-0.029308067849413866,-0.01693463260141814,1.9073486328125e-06,1.3033930618967925e-06,-1.5509378619368808,0,0.0,S,1,6.866455078125e-05
dual_kernel vs single_kernel,20,-0.0015443700404148691,-0.0017260505353339228,-0.002902457258260166,-0.00013068878966978657,0.03276824951171875,0.045830239884925725,-0.47781886648902283,5,0.25,S,2,0.4436302185058594
single_kernel vs AB_noaux,20,0.08820306494307188,0.09090272478321519,0.07683301559842531,0.09935642298484205,1.9073486328125e-06,5.527825173447411e-12,3.3532791861246003,20,1.0,S,2,6.866455078125e-05
single_kernel vs ESN,20,-0.018893525229707615,-0.019059821453615733,-0.025053051188524977,-0.01256060832184942,3.62396240234375e-05,1.2591341637228742e-05,-1.3061909259329987,2,0.1,S,2,0.000942230224609375
dual_kernel vs single_kernel,20,-0.0015072780886499827,-0.0017633074582972807,-0.004353714066778533,0.0015323252785190541,0.24548721313476562,0.3438528381470126,-0.21707396877306892,7,0.35,S,4,1.0
single_kernel vs AB_noaux,20,0.046466769164977086,0.054574113344715125,0.02425001061589178,0.06411444329413393,0.001209259033203125,0.00027947763107057837,0.9933392336215189,17,0.85,S,4,0.02660369873046875
single_kernel vs ESN,20,-0.018891577668849958,-0.01578335632094302,-0.034635645989277306,-0.0019765118990708263,0.017181396484375,0.03875446871816188,-0.49648715132219157,4,0.2,S,4,0.27490234375
dual_kernel vs single_kernel,20,0.0017255446723123513,0.0012120297479115694,-0.0015431163625695497,0.005246214762022128,0.38837623596191406,0.34329560291718997,0.21733087893733627,11,0.55,S,8,1.0
single_kernel vs AB_noaux,20,-0.004787968379547236,-0.006524595643505271,-0.011593782582929394,0.00232968431505809,0.21616744995117188,0.20521419320542209,-0.2933297363825825,8,0.4,S,8,1.0
single_kernel vs ESN,20,-0.003217367032424473,-0.012685235790294236,-0.024024181339282333,0.01932563398388527,0.1893482208251953,0.7783161053571858,-0.06384986055179638,7,0.35,S,8,1.0
dual_kernel vs single_kernel,20,-0.0015808423692018972,-0.002193396585157964,-0.0022239232416289257,-0.0008996487953063424,0.0007076263427734375,0.00019494272747274936,-1.0288548416258678,5,0.25,Z,1,0.0169830322265625
single_kernel vs AB_noaux,20,0.04172697503567445,0.04192545215533108,0.03549581728429252,0.0483837804277265,1.9073486328125e-06,1.2757617084953885e-10,2.7977022778031593,20,1.0,Z,1,6.866455078125e-05
single_kernel vs ESN,20,-0.005265528603284983,-0.006166045299686007,-0.007427998599369097,-0.002580544399614726,0.0007076263427734375,0.0005780099016717705,-0.9220228290022013,1,0.05,Z,1,0.0169830322265625
