comparison,n_segments,mean_diff_rmse_comparator_minus_state,median_diff,ci95_lo,ci95_hi,p_wilcoxon,p_ttest,cohen_dz,wins_state,win_fraction_state,set,horizon,p_holm,esn200_nrmse_mean_unmatched_reference_only
single_kernel vs AB_noaux,20,0.0057122955383785284,0.012391683827882138,-0.00359326870177743,0.013313119888185551,0.058258056640625,0.2136573876042786,0.2877138791722482,16,0.8,F,4,0.37218475341796875,0.6223582720363989
single_kernel vs ESN_66,20,-0.006834499339263567,-0.0032937830354985986,-0.013873138932582007,-0.000892742818855113,0.09730720520019531,0.057326774061271,-0.45245206990982245,8,0.4,F,4,0.38922882080078125,0.6223582720363989
single_kernel vs AB_noaux,20,0.002505327655173617,0.002111195297437085,-0.001310654499009954,0.0062383964342488454,0.2773551940917969,0.21974142425233667,0.2837735721168938,12,0.6,F,8,0.6485023498535156,0.937698852836387
single_kernel vs ESN_66,20,0.019795819747630627,0.013855295436157156,0.010441817005123703,0.029712770564767472,0.0003223419189453125,0.0009329390823431641,0.8751519090895831,17,0.85,F,8,0.00386810302734375,0.937698852836387
single_kernel vs AB_noaux,20,0.046466769164977086,0.054574113344715125,0.02425001061589178,0.06411444329413393,0.001209259033203125,0.00027947763107057837,0.9933392336215189,17,0.85,S,4,0.010883331298828125,0.7339506149507679
single_kernel vs ESN_66,20,0.015250324675476845,0.009474073579576081,0.00028233249994420007,0.030653504741196467,0.069580078125,0.07120060650186229,0.42733023145054705,13,0.65,S,4,0.37218475341796875,0.7339506149507679
single_kernel vs AB_noaux,20,-0.004787968379547236,-0.006524595643505271,-0.011593782582929394,0.00232968431505809,0.21616744995117188,0.20521419320542209,-0.2933297363825825,8,0.4,S,8,0.6485023498535156,0.9465634184902834
single_kernel vs ESN_66,20,0.012676236682339932,0.007971366062268115,-0.0039398384081815035,0.03078441855197046,0.2305126190185547,0.17583408808448586,0.3144168631574437,13,0.65,S,8,0.6485023498535156,0.9465634184902834
single_kernel vs AB_noaux,20,0.011120681540486283,0.010210838822340695,0.00614329378282298,0.015986166788324447,0.0003223419189453125,0.00039581967042162615,0.9591397994825487,17,0.85,Z,4,0.00386810302734375,0.8606498883564387
single_kernel vs ESN_66,20,0.02240421355396809,0.006435265560034875,0.008795835396311643,0.03809349533458962,0.006389617919921875,0.008582955425416322,0.6552802995356541,15,0.75,Z,4,0.051116943359375,0.8606498883564387
single_kernel vs AB_noaux,20,0.0031440947804495913,0.002656725193043108,0.0005176359775326669,0.005843046247321228,0.05316925048828125,0.035504966032973484,0.5061319257007548,13,0.65,Z,8,0.37218475341796875,0.989881490612072
single_kernel vs ESN_66,20,0.03651514318459608,0.016240381457964248,0.01579843493185247,0.06073525830437975,0.0007076263427734375,0.006011112630852382,0.6912258058618188,18,0.9,Z,8,0.007076263427734375,0.989881490612072
