comparison,set,horizon,delta_nrmse,capacity_gap,nonlinear_demand
dual_kernel vs single_kernel,F,1,-0.0072074362386245,-0.31732731993131713,0.0001258841555319
single_kernel vs AB_noaux,F,1,0.0182500608076231,0.6879997013302073,0.0001258841555319
single_kernel vs ESN,F,1,-0.0516842882560778,2.6089475586306503,0.0001258841555319
dual_kernel vs single_kernel,F,2,-0.0053546487067438,-0.31732731993131713,0.0001258841555319
single_kernel vs AB_noaux,F,2,0.0199648402969381,0.6879997013302073,0.0001258841555319
single_kernel vs ESN,F,2,-0.0339080483611673,2.6089475586306503,0.0001258841555319
dual_kernel vs single_kernel,F,4,-0.0015813171724699,-0.31732731993131713,0.0001258841555319
single_kernel vs AB_noaux,F,4,0.006791999389725,0.6879997013302073,0.0001258841555319
single_kernel vs ESN,F,4,-0.0074016408038613,2.6089475586306503,0.0001258841555319
dual_kernel vs single_kernel,F,8,0.0029099216054505,-0.31732731993131713,0.0001258841555319
single_kernel vs AB_noaux,F,8,0.0047998958472972,0.6879997013302073,0.0001258841555319
single_kernel vs ESN,F,8,0.0231683863456474,2.6089475586306503,0.0001258841555319
dual_kernel vs single_kernel,F,16,0.0018990290714282,-0.31732731993131713,0.0001258841555319
single_kernel vs AB_noaux,F,16,0.0070381764835675,0.6879997013302073,0.0001258841555319
single_kernel vs ESN,F,16,0.0556961815387739,2.6089475586306503,0.0001258841555319
dual_kernel vs single_kernel,F,32,0.0038167429024253,-0.31732731993131713,0.0001258841555319
single_kernel vs AB_noaux,F,32,0.0057562155968646,0.6879997013302073,0.0001258841555319
single_kernel vs ESN,F,32,0.0715654194513269,2.6089475586306503,0.0001258841555319
dual_kernel vs single_kernel,F,64,0.0026421527735312,-0.31732731993131713,0.0001258841555319
single_kernel vs AB_noaux,F,64,0.005135115878974,0.6879997013302073,0.0001258841555319
single_kernel vs ESN,F,64,0.0862017148098545,2.6089475586306503,0.0001258841555319
dual_kernel vs single_kernel,F,128,0.0024750503926715,-0.31732731993131713,0.0001258841555319
single_kernel vs AB_noaux,F,128,0.0043232724589164,0.6879997013302073,0.0001258841555319
single_kernel vs ESN,F,128,0.0724860829072903,2.6089475586306503,0.0001258841555319
dual_kernel vs single_kernel,S,1,-0.0053833220170144,-0.31732731993131713,0.0
single_kernel vs AB_noaux,S,1,0.0656893398365846,0.6879997013302073,0.0
single_kernel vs ESN,S,1,-0.0214408069987327,2.6089475586306503,0.0
dual_kernel vs single_kernel,S,2,-0.0076288815211273,-0.31732731993131713,0.0
single_kernel vs AB_noaux,S,2,0.0887632565425,0.6879997013302073,0.0
single_kernel vs ESN,S,2,-0.0184286926539588,2.6089475586306503,0.0
dual_kernel vs single_kernel,S,4,0.0001259462626051,-0.31732731993131713,0.0
single_kernel vs AB_noaux,S,4,0.0424420150130804,0.6879997013302073,0.0
single_kernel vs ESN,S,4,-0.0230996797373621,2.6089475586306503,0.0
dual_kernel vs single_kernel,S,8,0.0096211675363192,-0.31732731993131713,0.0
single_kernel vs AB_noaux,S,8,-0.0084828830322171,0.6879997013302073,0.0
single_kernel vs ESN,S,8,0.0027576233881652,2.6089475586306503,0.0
dual_kernel vs single_kernel,S,16,0.005749344259126,-0.31732731993131713,0.0
single_kernel vs AB_noaux,S,16,-0.0063248512426821,0.6879997013302073,0.0
single_kernel vs ESN,S,16,0.0083814085533264,2.6089475586306503,0.0
dual_kernel vs single_kernel,S,32,0.0012635405880319,-0.31732731993131713,0.0
single_kernel vs AB_noaux,S,32,-0.0011862248980034,0.6879997013302073,0.0
single_kernel vs ESN,S,32,0.001022567104542,2.6089475586306503,0.0
dual_kernel vs single_kernel,S,64,0.0001897585016356,-0.31732731993131713,0.0
single_kernel vs AB_noaux,S,64,0.000466912572483,0.6879997013302073,0.0
single_kernel vs ESN,S,64,0.0027760974627527,2.6089475586306503,0.0
dual_kernel vs single_kernel,S,128,0.0002542933881259,-0.31732731993131713,0.0
single_kernel vs AB_noaux,S,128,3.4872554620568595e-05,0.6879997013302073,0.0
single_kernel vs ESN,S,128,0.0051121648514874,2.6089475586306503,0.0
dual_kernel vs single_kernel,Z,1,-0.0049160812952623,-0.31732731993131713,0.0002437196600824
single_kernel vs AB_noaux,Z,1,0.0417434686054484,0.6879997013302073,0.0002437196600824
single_kernel vs ESN,Z,1,-0.005285769938626,2.6089475586306503,0.0002437196600824
dual_kernel vs single_kernel,Z,2,-0.0061056348709372,-0.31732731993131713,0.0002437196600824
single_kernel vs AB_noaux,Z,2,0.0476801232573768,0.6879997013302073,0.0002437196600824
single_kernel vs ESN,Z,2,-0.0048172408950208,2.6089475586306503,0.0002437196600824
dual_kernel vs single_kernel,Z,4,-0.0032488093073057,-0.31732731993131713,0.0002437196600824
single_kernel vs AB_noaux,Z,4,0.0107470874117533,0.6879997013302073,0.0002437196600824
single_kernel vs ESN,Z,4,0.0083823387358065,2.6089475586306503,0.0002437196600824
dual_kernel vs single_kernel,Z,8,0.0015767449331753,-0.31732731993131713,0.0002437196600824
single_kernel vs AB_noaux,Z,8,0.0021776263813438,0.6879997013302073,0.0002437196600824
single_kernel vs ESN,Z,8,0.0275368709707245,2.6089475586306503,0.0002437196600824
dual_kernel vs single_kernel,Z,16,0.0011323249177453,-0.31732731993131713,0.0002437196600824
single_kernel vs AB_noaux,Z,16,0.0004420688540152,0.6879997013302073,0.0002437196600824
single_kernel vs ESN,Z,16,0.0331498728402474,2.6089475586306503,0.0002437196600824
dual_kernel vs single_kernel,Z,32,0.0023039286751732,-0.31732731993131713,0.0002437196600824
single_kernel vs AB_noaux,Z,32,0.0008230756094793,0.6879997013302073,0.0002437196600824
single_kernel vs ESN,Z,32,0.0507454337538814,2.6089475586306503,0.0002437196600824
dual_kernel vs single_kernel,Z,64,0.0026291103334574,-0.31732731993131713,0.0002437196600824
single_kernel vs AB_noaux,Z,64,0.003397924611545,0.6879997013302073,0.0002437196600824
single_kernel vs ESN,Z,64,0.0803115409084078,2.6089475586306503,0.0002437196600824
dual_kernel vs single_kernel,Z,128,0.0017010394093033,-0.31732731993131713,0.0002437196600824
single_kernel vs AB_noaux,Z,128,0.0042427657987168,0.6879997013302073,0.0002437196600824
single_kernel vs ESN,Z,128,0.1009930675592777,2.6089475586306503,0.0002437196600824
