construction,analysis_mode,set,horizon,n_segments,mean_nrmse,ci95_lo,ci95_hi,diff_from_k0
ESN66_AB,fixed_core,F,1,20,0.20067732326236026,0.17338513703109454,0.22995171198091835,0.01606254536031454
ESN66_AB,fixed_core,F,2,20,0.3507186252073113,0.3119154432193069,0.3907598082543265,0.019225715411497646
ESN66_AB,fixed_core,F,4,20,0.6282016002107196,0.5739507300814315,0.6823557792948386,0.005110615927426121
ESN66_AB,fixed_core,F,8,20,0.9291523137275307,0.8775885257362165,0.9765965687085185,-0.003525122955883364
ESN66_AB,fixed_core,F,16,20,1.0779689558382428,1.0319377421153078,1.127133817205561,-0.009817775865814893
ESN66_AB,fixed_core,F,32,20,1.1074569009488455,1.071161759667642,1.1476205817892275,-0.016148844388861994
ESN66_AB,fixed_core,F,64,20,1.0966395602332208,1.0620888157142414,1.1348735272396993,-0.025276829008599178
ESN66_AB,fixed_core,F,128,20,1.0842226965757542,1.048487012183259,1.1273184115923665,-0.02483186884227906
ESN66_AB,fixed_core,S,1,20,0.2245964882781899,0.19797661388848742,0.2524646777759668,0.061966476505339374
ESN66_AB,fixed_core,S,2,20,0.4532468631041759,0.40607668096222477,0.5043247182759362,0.08614379501108899
ESN66_AB,fixed_core,S,4,20,0.8048591665782944,0.746331078111271,0.8663699714066809,0.036067309070518916
ESN66_AB,fixed_core,S,8,20,0.9533758787376646,0.9037650049545404,1.0108115276937877,-0.012068719489276902
ESN66_AB,fixed_core,S,16,20,0.9696541499517135,0.9332654934653357,1.0101398411806597,-0.002591870421635223
ESN66_AB,fixed_core,S,32,20,0.9993947727586523,0.9797513941743015,1.0206807910113027,0.0020430883136624
ESN66_AB,fixed_core,S,64,20,1.0101376785996998,1.0026166422756064,1.0222042756858105,0.0005253145388133262
ESN66_AB,fixed_core,S,128,20,1.007260457002461,1.0011864188611939,1.0151486306353277,-0.00047544040368774354
ESN66_AB,fixed_core,Z,1,20,0.29924210091254777,0.26704572461133236,0.34125095316370135,0.03350437860261091
ESN66_AB,fixed_core,Z,2,20,0.5447462543188267,0.5013792734146485,0.5965012451325071,0.038617695965289855
ESN66_AB,fixed_core,Z,4,20,0.8705139877052849,0.8294739261445181,0.9134698821625123,-0.0037793807973089955
ESN66_AB,fixed_core,Z,8,20,0.9789044671485293,0.9475352910739661,1.0081361674824303,-0.01935831718467307
ESN66_AB,fixed_core,Z,16,20,1.0095823394726375,0.9762867103320376,1.0425735028964795,-0.020163897509915207
ESN66_AB,fixed_core,Z,32,20,1.0875027786857525,1.047265518973124,1.1340221856559196,-0.013772833849058808
ESN66_AB,fixed_core,Z,64,20,1.1483857995473254,1.0877242812854653,1.2189566057397434,-0.014119194430249449
ESN66_AB,fixed_core,Z,128,20,1.1545439720679411,1.0884281991315479,1.2328013981562467,-0.022998495779981365
ESN66_AB,retuned_core,F,1,20,0.20067732326236026,0.17338513703109454,0.22995171198091835,0.01606254536031454
ESN66_AB,retuned_core,F,2,20,0.3507186252073113,0.3119154432193069,0.3907598082543265,0.019225715411497646
ESN66_AB,retuned_core,F,4,20,0.6282016002107196,0.5739507300814315,0.6823557792948386,0.005110615927426121
ESN66_AB,retuned_core,F,8,20,0.9291523137275307,0.8775885257362165,0.9765965687085185,-0.003525122955883364
ESN66_AB,retuned_core,F,16,20,1.0779689558382428,1.0319377421153078,1.127133817205561,-0.009817775865814893
ESN66_AB,retuned_core,F,32,20,1.1074569009488455,1.071161759667642,1.1476205817892275,-0.016148844388861994
ESN66_AB,retuned_core,F,64,20,1.0966395602332208,1.0620888157142414,1.1348735272396993,-0.025276829008599178
ESN66_AB,retuned_core,F,128,20,1.0842226965757542,1.048487012183259,1.1273184115923665,-0.02483186884227906
ESN66_AB,retuned_core,S,1,20,0.2245964882781899,0.19797661388848742,0.2524646777759668,0.061966476505339374
ESN66_AB,retuned_core,S,2,20,0.4532468631041759,0.40607668096222477,0.5043247182759362,0.08614379501108899
ESN66_AB,retuned_core,S,4,20,0.8048591665782944,0.746331078111271,0.8663699714066809,0.036067309070518916
ESN66_AB,retuned_core,S,8,20,0.9533758787376646,0.9037650049545404,1.0108115276937877,-0.012068719489276902
ESN66_AB,retuned_core,S,16,20,0.9696541499517135,0.9332654934653357,1.0101398411806597,-0.002591870421635223
ESN66_AB,retuned_core,S,32,20,0.9993947727586523,0.9797513941743015,1.0206807910113027,0.0020430883136624
ESN66_AB,retuned_core,S,64,20,1.0101376785996998,1.0026166422756064,1.0222042756858105,0.0005253145388133262
ESN66_AB,retuned_core,S,128,20,1.007260457002461,1.0011864188611939,1.0151486306353277,-0.00047544040368774354
ESN66_AB,retuned_core,Z,1,20,0.29924210091254777,0.26704572461133236,0.34125095316370135,0.03350437860261091
ESN66_AB,retuned_core,Z,2,20,0.5447462543188267,0.5013792734146485,0.5965012451325071,0.038617695965289855
ESN66_AB,retuned_core,Z,4,20,0.8705139877052849,0.8294739261445181,0.9134698821625123,-0.0037793807973089955
ESN66_AB,retuned_core,Z,8,20,0.9789044671485293,0.9475352910739661,1.0081361674824303,-0.01935831718467307
ESN66_AB,retuned_core,Z,16,20,1.0095823394726375,0.9762867103320376,1.0425735028964795,-0.020163897509915207
ESN66_AB,retuned_core,Z,32,20,1.0875027786857525,1.047265518973124,1.1340221856559196,-0.013772833849058808
ESN66_AB,retuned_core,Z,64,20,1.1483857995473254,1.0877242812854653,1.2189566057397434,-0.014119194430249449
ESN66_AB,retuned_core,Z,128,20,1.1545439720679411,1.0884281991315479,1.2328013981562467,-0.022998495779981365
ESN66_K0,fixed_core,F,1,20,0.18461477790204572,0.1552990069322508,0.2162920460935029,0.0
