set,kernel,comparator,analysis_mode,comparison,observed_mean,bootstrap_mean,bootstrap_median,ci95_lo,ci95_hi,se,sign_fraction,p_bootstrap,n_segments,n_seeds,n_replicates,p_holm,expected_direction,significant_expected
Z,single_kernel,QRC_K0,not_applicable,single_kernel vs QRC_K0,0.03187470529471466,0.03183614028386424,0.03093455611406415,0.015212938786734607,0.05301828375625442,0.009789230521623437,1.0,0.0,20,10,10000,0.0,True,True
Z,single_kernel,AB_noaux,not_applicable,single_kernel vs AB_noaux,-0.04428219864583185,-0.04430287344851122,-0.04423139303653023,-0.05272997895503726,-0.03625483020687264,0.004233609076701711,0.0,0.0,20,10,10000,0.0,False,False
Z,single_kernel,ESN_66,not_applicable,single_kernel vs ESN_66,0.07787232278471894,0.0777919396328552,0.0754186712327381,0.025822582530535446,0.14355807520531177,0.03064111810012919,1.0,0.0,20,10,10000,0.0,True,True
Z,ESN66_kernel,ESN66_K0,fixed_core,ESN66_kernel vs ESN66_K0 (fixed_core),0.022698706336705395,0.022788820678515162,0.022045656649257388,0.006188135030887551,0.0438225316917778,0.009753769326902214,1.0,0.0,20,10,10000,0.0,True,True
Z,ESN66_kernel,ESN66_K0,retuned_core,ESN66_kernel vs ESN66_K0 (retuned_core),0.022698706336705395,0.022788268067339294,0.022019706584528398,0.006038416915163144,0.044289132251153135,0.00984108877600794,1.0,0.0,20,10,10000,0.0,True,True
Z,ESN66_kernel,ESN66_AB,fixed_core,ESN66_kernel vs ESN66_AB (fixed_core),-0.030038184058834114,-0.030029762403135863,-0.030031570509265422,-0.037830026609419434,-0.022249405262194433,0.003987194671335606,0.0,0.0,20,10,10000,0.0,False,False
Z,ESN66_kernel,ESN66_AB,retuned_core,ESN66_kernel vs ESN66_AB (retuned_core),-0.030038184058834114,-0.03007358565215236,-0.030127575938269587,-0.03745484007195668,-0.02239802902070463,0.0038894484053478393,0.0,0.0,20,10,10000,0.0,False,False
F,single_kernel,QRC_K0,not_applicable,single_kernel vs QRC_K0,0.036805290601433976,0.036845428801156224,0.036161985866420596,0.018043878801807377,0.05940043353932051,0.010604219276763025,1.0,0.0,20,10,10000,0.0,True,True
F,single_kernel,AB_noaux,not_applicable,single_kernel vs AB_noaux,-0.014829724417964098,-0.014811633471335484,-0.014747914345796293,-0.020651779539588924,-0.009180356000560197,0.002900789538937294,0.0,0.0,20,10,10000,0.0,False,False
F,single_kernel,ESN_66,not_applicable,single_kernel vs ESN_66,0.11495038229570032,0.11528213928284263,0.11347071085603294,0.07470409149748748,0.16465291167150942,0.022874018108671283,1.0,0.0,20,10,10000,0.0,True,True
F,ESN66_kernel,ESN66_K0,fixed_core,ESN66_kernel vs ESN66_K0 (fixed_core),0.04119717542922247,0.04120827040349812,0.04030684948901253,0.019927125328941437,0.0670535316866998,0.012147520186567949,1.0,0.0,20,10,10000,0.0,True,True
F,ESN66_kernel,ESN66_K0,retuned_core,ESN66_kernel vs ESN66_K0 (retuned_core),0.04119717542922247,0.04135104810977961,0.04071619330570725,0.020000382538585344,0.06722675908055274,0.012006225992834279,1.0,0.0,20,10,10000,0.0,True,True
F,ESN66_kernel,ESN66_AB,fixed_core,ESN66_kernel vs ESN66_AB (fixed_core),-0.0033053689908744345,-0.003322630105577282,-0.003462317822201653,-0.011317425699890266,0.005541010020334068,0.004325529162779154,0.2188,0.4376,20,10,10000,1.0,False,False
F,ESN66_kernel,ESN66_AB,retuned_core,ESN66_kernel vs ESN66_AB (retuned_core),-0.0033053689908744345,-0.0033627944175593136,-0.003519094629829634,-0.011511300504186707,0.005601628011398554,0.004381458882017643,0.2212,0.4424,20,10,10000,1.0,False,False
S,single_kernel,QRC_K0,not_applicable,single_kernel vs QRC_K0,-0.0031418107037182604,-0.0030828404314685877,-0.0031040319522962585,-0.010784479883357777,0.004402918807693026,0.0038436154501930797,0.207,0.414,20,10,10000,1.0,False,False
S,single_kernel,AB_noaux,not_applicable,single_kernel vs AB_noaux,-0.08829634397001708,-0.08805822447030451,-0.08804407894162784,-0.10070320175068417,-0.07527458154531301,0.006431092205958047,0.0,0.0,20,10,10000,0.0,False,False
S,single_kernel,ESN_66,not_applicable,single_kernel vs ESN_66,-0.007510969205774912,-0.007489164719869669,-0.0071791842807517325,-0.019874707611353546,0.003525574488756626,0.005941852343556871,0.0956,0.1912,20,10,10000,0.7648,False,False
S,ESN66_kernel,ESN66_K0,fixed_core,ESN66_kernel vs ESN66_K0 (fixed_core),0.008616874164650528,0.008664042970153623,0.008720437086135754,0.000691567592175465,0.016225698880505103,0.003958041816810736,0.9819,0.0362,20,10,10000,0.1944,True,False
S,ESN66_kernel,ESN66_K0,retuned_core,ESN66_kernel vs ESN66_K0 (retuned_core),0.008616874164650528,0.008606178962515117,0.008673404951858997,0.000679233965912788,0.016029528733088223,0.003918299419548216,0.9838,0.0324,20,10,10000,0.1944,True,False
S,ESN66_kernel,ESN66_AB,fixed_core,ESN66_kernel vs ESN66_AB (fixed_core),-0.07700160630762524,-0.07685403732838747,-0.0769467825340715,-0.08944249346297341,-0.06350038999972642,0.006623678498862612,0.0,0.0,20,10,10000,0.0,False,False
S,ESN66_kernel,ESN66_AB,retuned_core,ESN66_kernel vs ESN66_AB (retuned_core),-0.07700160630762524,-0.07696088453918255,-0.07706885485198514,-0.0897953266562169,-0.06343903255220736,0.006675497129102258,0.0,0.0,20,10,10000,0.0,False,False
