comparison,set,converged,singular,boundary_hit,interaction_comp_minus_kernel,ci95_lo,ci95_hi,p_value,error,analysis_mode,kernel,comparator
single_kernel vs QRC_K0,Z,True,False,True,0.03187470529471586,0.01574338156843257,0.04800602902099915,0.00010759529494607488,,not_applicable,single_kernel,QRC_K0
single_kernel vs AB_noaux,Z,True,False,True,-0.044282198645832486,-0.0587653693631955,-0.029799027928469477,2.065416942905863e-09,,not_applicable,single_kernel,AB_noaux
single_kernel vs ESN_66,Z,False,True,True,0.0778723227847192,0.05505130462873402,0.10069334094070438,2.262425850923035e-11,,not_applicable,single_kernel,ESN_66
ESN66_kernel vs ESN66_K0,Z,True,True,True,0.02269870633670613,-0.0003739466595451997,0.045771359332957465,0.05383048373445952,,fixed_core,ESN66_kernel,ESN66_K0
ESN66_kernel vs ESN66_K0,Z,True,True,True,0.02269870633670613,-0.0003739466595451997,0.045771359332957465,0.05383048373445952,,retuned_core,ESN66_kernel,ESN66_K0
ESN66_kernel vs ESN66_AB,Z,True,True,True,-0.03003818405883385,-0.05070353471129524,-0.00937283340637246,0.004386905622341738,,fixed_core,ESN66_kernel,ESN66_AB
ESN66_kernel vs ESN66_AB,Z,True,True,True,-0.03003818405883385,-0.05070353471129524,-0.00937283340637246,0.004386905622341738,,retuned_core,ESN66_kernel,ESN66_AB
single_kernel vs QRC_K0,F,True,True,True,0.03680529060143346,0.0185660511441641,0.05504453005870283,7.651969999124657e-05,,not_applicable,single_kernel,QRC_K0
single_kernel vs AB_noaux,F,False,True,True,-0.014829724417963631,-0.031189519812417833,0.0015300709764905704,0.07562488486755181,,not_applicable,single_kernel,AB_noaux
single_kernel vs ESN_66,F,False,True,True,0.11495038229570065,0.09422232209719543,0.13567844249420588,1.6151110148045074e-27,,not_applicable,single_kernel,ESN_66
ESN66_kernel vs ESN66_K0,F,True,True,True,0.041197175429221376,0.021617100996297094,0.06077724986214566,3.726171997320228e-05,,fixed_core,ESN66_kernel,ESN66_K0
ESN66_kernel vs ESN66_K0,F,True,True,True,0.041197175429221376,0.021617100996297094,0.06077724986214566,3.726171997320228e-05,,retuned_core,ESN66_kernel,ESN66_K0
ESN66_kernel vs ESN66_AB,F,True,True,True,-0.003305368990875194,-0.019956567152886608,0.01334582917113622,0.6972278075688823,,fixed_core,ESN66_kernel,ESN66_AB
ESN66_kernel vs ESN66_AB,F,True,True,True,-0.003305368990875194,-0.019956567152886608,0.01334582917113622,0.6972278075688823,,retuned_core,ESN66_kernel,ESN66_AB
single_kernel vs QRC_K0,S,True,True,True,-0.0031418107037177343,-0.019592139213715155,0.013308517806279684,0.7081595225528364,,not_applicable,single_kernel,QRC_K0
single_kernel vs AB_noaux,S,True,True,True,-0.08829634397001887,-0.10430764602008558,-0.07228504191995216,3.138661010637287e-27,,not_applicable,single_kernel,AB_noaux
single_kernel vs ESN_66,S,True,True,True,-0.007510969205775391,-0.024307168210802657,0.009285229799251877,0.3807789594191612,,not_applicable,single_kernel,ESN_66
ESN66_kernel vs ESN66_K0,S,True,False,True,0.008616874164649029,-0.008221359492173739,0.025455107821471798,0.31586044105432676,,fixed_core,ESN66_kernel,ESN66_K0
ESN66_kernel vs ESN66_K0,S,True,False,True,0.008616874164649029,-0.008221359492173739,0.025455107821471798,0.31586044105432676,,retuned_core,ESN66_kernel,ESN66_K0
ESN66_kernel vs ESN66_AB,S,True,True,True,-0.07700160630762526,-0.09293929783366607,-0.06106391478158445,2.8145587008372655e-21,,fixed_core,ESN66_kernel,ESN66_AB
ESN66_kernel vs ESN66_AB,S,True,True,True,-0.07700160630762526,-0.09293929783366607,-0.06106391478158445,2.8145587008372655e-21,,retuned_core,ESN66_kernel,ESN66_AB
