set,kernel,comparator,analysis_mode,observed_mean,bootstrap_mean,ci95_lo,ci95_hi,n_segments,n_replicates
Z,single_kernel,QRC_K0,not_applicable,0.0318747052947147,0.03186841892616542,0.015806079895705184,0.05100562921793661,20,10000
Z,single_kernel,AB_noaux,not_applicable,-0.04428219864583178,-0.044296081083359536,-0.05257921334443824,-0.036356558571074025,20,10000
Z,single_kernel,ESN_66,not_applicable,0.07787232278471902,0.07778715301014459,0.02581663761504686,0.14201713515633885,20,10000
Z,ESN66_kernel,ESN66_K0,fixed_core,0.022698706336705416,0.022651417060400948,0.0060422519217394315,0.04398247292737843,20,10000
Z,ESN66_kernel,ESN66_K0,retuned_core,0.022698706336705416,0.02266291230875861,0.0060472920898869366,0.043580499744998134,20,10000
Z,ESN66_kernel,ESN66_AB,fixed_core,-0.03003818405883412,-0.030029039931600676,-0.03759247907096305,-0.022664113124040805,20,10000
Z,ESN66_kernel,ESN66_AB,retuned_core,-0.03003818405883412,-0.029993133763595876,-0.03755580081668201,-0.02267763289487179,20,10000
F,single_kernel,QRC_K0,not_applicable,0.03680529060143396,0.03666600442767443,0.0196618085396106,0.05703688511587411,20,10000
F,single_kernel,AB_noaux,not_applicable,-0.014829724417964079,-0.014789413936499938,-0.02036297525763121,-0.009483133498654735,20,10000
F,single_kernel,ESN_66,not_applicable,0.11495038229570034,0.1147559420279985,0.0749960184842589,0.16215864962552762,20,10000
F,ESN66_kernel,ESN66_K0,fixed_core,0.04119717542922251,0.04109685663582204,0.019833046182655405,0.066737619057779,20,10000
F,ESN66_kernel,ESN66_K0,retuned_core,0.04119717542922251,0.041317922754151935,0.019719569276018922,0.0673831003109968,20,10000
F,ESN66_kernel,ESN66_AB,fixed_core,-0.0033053689908744076,-0.003267355412183334,-0.011152156931587245,0.005544526342061176,20,10000
F,ESN66_kernel,ESN66_AB,retuned_core,-0.0033053689908744076,-0.003302129951928677,-0.011069533021892923,0.005489724599223851,20,10000
S,single_kernel,QRC_K0,not_applicable,-0.0031418107037182175,-0.00314167585022785,-0.009213390421760915,0.003056306711112816,20,10000
S,single_kernel,AB_noaux,not_applicable,-0.08829634397001704,-0.08830876459523226,-0.1002646518509816,-0.07625051681176365,20,10000
S,single_kernel,ESN_66,not_applicable,-0.007510969205774853,-0.00749483025685619,-0.01795894026983449,0.0020396024372970212,20,10000
S,ESN66_kernel,ESN66_K0,fixed_core,0.008616874164650502,0.00867924127692684,0.0011872541738523613,0.015707337585198534,20,10000
S,ESN66_kernel,ESN66_K0,retuned_core,0.008616874164650502,0.008658019749869019,0.0010887048574681607,0.015881567340630447,20,10000
S,ESN66_kernel,ESN66_AB,fixed_core,-0.07700160630762527,-0.07700078951994237,-0.0891361932093205,-0.06392399214436326,20,10000
S,ESN66_kernel,ESN66_AB,retuned_core,-0.07700160630762527,-0.07694825837919075,-0.08905232271018308,-0.06375883431068587,20,10000
