stratum,r,u0,theory,metric,n_total,n_valid,n_pass,pass_fraction,mean,median,std,min,max,q10,q25,q75,q90
global,all,all,tangent_recurrence,impulse_relative_frobenius,60,60,60,1.0,3.45496371198768e-05,2.8648948757287104e-05,1.3783206187369887e-05,1.8278545757877164e-05,7.237731804765116e-05,2.188978944553455e-05,2.3827276430655277e-05,4.265783011225188e-05,5.283514451451012e-05
global,all,all,tangent_recurrence,step_relative_frobenius,60,60,60,1.0,7.980601797665112e-05,5.149426406315893e-05,6.800738032531366e-05,3.171416986976163e-05,0.00030154124718370824,3.582559051137056e-05,3.9853748884419544e-05,7.605785797798694e-05,0.00019842570217173461
global,all,all,tangent_recurrence,frequency_relative_frobenius,60,60,60,1.0,3.45496371198766e-05,2.864894875728635e-05,1.3783206187369534e-05,1.8278545757876825e-05,7.237731804764633e-05,2.1889789445539664e-05,2.3827276430654745e-05,4.265783011225145e-05,5.283514451450957e-05
global,all,all,tangent_recurrence,memory_function_l1,60,60,60,1.0,1.416342536303743e-05,9.599372504905411e-06,1.0784746145243836e-05,2.972646846110012e-07,4.649633286646186e-05,2.8251661378297674e-06,6.028149852477948e-06,2.2001998414907236e-05,2.854047892587972e-05
global,all,all,tangent_recurrence,impulse_cosine_similarity,60,60,-1,,0.9999999993975371,0.9999999996130033,5.145748811501992e-10,0.9999999978426344,0.9999999998620046,0.9999999986237551,0.999999999196364,0.9999999997457024,0.9999999997768785
global,all,all,tangent_recurrence,step_cosine_similarity,60,60,-1,,0.999999996377083,0.9999999991239643,7.960396390923515e-09,0.9999999552573721,0.9999999995665646,0.999999987407525,0.9999999988664808,0.9999999994482097,0.9999999995074446
global,all,all,separable_W_times_R,impulse_relative_frobenius,60,60,0,0.0,0.4075037604882573,0.39828723691825973,0.0547808269429657,0.3408831202862328,0.5964831371352773,0.34913863675466195,0.36153426361722985,0.43950021768382674,0.48523238086319564
global,all,all,separable_W_times_R,step_relative_frobenius,60,60,0,0.0,0.1393264073452891,0.12117826998823507,0.07007043727828019,0.04080820393518276,0.37199737785052506,0.07187284517311164,0.08454574368456072,0.17642103472671283,0.22593137152398907
global,all,all,separable_W_times_R,frequency_relative_frobenius,60,60,0,0.0,0.4075037604882573,0.39828723691825985,0.05478082694296573,0.3408831202862328,0.5964831371352775,0.3491386367546618,0.36153426361722985,0.43950021768382674,0.48523238086319564
global,all,all,separable_W_times_R,memory_function_l1,60,60,0,0.0,0.6167861452091793,0.6204987639468869,0.08948686246254722,0.4480162446211884,0.8651787671173917,0.4991349976137737,0.549867424065044,0.6765615900431987,0.7164238429499508
global,all,all,separable_W_times_R,impulse_cosine_similarity,60,60,-1,,0.9177200762334042,0.9201729420512215,0.02154709053227419,0.8559264357611929,0.9492321484179844,0.8917129215250226,0.9019754740437829,0.9337360582071862,0.942698162445674
global,all,all,separable_W_times_R,step_cosine_similarity,60,60,-1,,0.9940004396651061,0.9948584550358579,0.004067012535247847,0.9804426643471549,0.9991672615602625,0.988921846022823,0.992290483806548,0.9972119001698427,0.9979105569454978
global,all,all,tangent_recurrence,joint_pass_all4,60,60,60,1.0,,,,,,,,,
global,all,all,separable_W_times_R,joint_pass_all4,60,60,0,0.0,,,,,,,,,
global,all,all,n/a,locally_stable_over_valid,60,60,60,1.0,,,,,,,,,
global,all,all,n/a,locally_stable_over_total,60,60,60,1.0,,,,,,,,,
r=0.7,0.7,all,tangent_recurrence,impulse_relative_frobenius,30,30,30,1.0,3.5115830453212014e-05,2.8958037178095193e-05,1.464954262021674e-05,1.831078290477467e-05,7.237731804765116e-05,2.1805691040494215e-05,2.3765755590641826e-05,4.309194757400609e-05,5.339654396657189e-05
r=0.7,0.7,all,tangent_recurrence,step_relative_frobenius,30,30,30,1.0,8.180731463274278e-05,5.305032964381561e-05,7.082747518431589e-05,3.2446423358861674e-05,0.00030154124718370824,3.592372720709085e-05,4.056255636044981e-05,7.770956074353907e-05,0.0002035438491724519
r=0.7,0.7,all,tangent_recurrence,frequency_relative_frobenius,30,30,30,1.0,3.511583045321226e-05,2.895803717809705e-05,1.4649542620216085e-05,1.8310782904774324e-05,7.237731804764633e-05,2.1805691040496007e-05,2.376575559064171e-05,4.309194757400554e-05,5.339654396657164e-05
r=0.7,0.7,all,tangent_recurrence,memory_function_l1,30,30,30,1.0,1.5615504164560315e-05,1.0972344319643089e-05,1.1887796870327125e-05,3.710665884111238e-07,4.649633286646186e-05,3.181802617491483e-06,6.700125703606232e-06,2.2435243802495155e-05,3.107589052971731e-05
r=0.7,0.7,all,tangent_recurrence,impulse_cosine_similarity,30,30,-1,,0.9999999993749901,0.9999999996106714,5.599787479863013e-10,0.9999999978426344,0.9999999998620046,0.9999999985935186,0.9999999992231651,0.9999999997433402,0.9999999997782137
r=0.7,0.7,all,tangent_recurrence,step_cosine_similarity,30,30,-1,,0.9999999961871071,0.9999999991334253,8.60956362949736e-09,0.9999999552573721,0.999999999554564,0.999999987407525,0.9999999988608212,0.9999999994422767,0.9999999994895931
r=0.7,0.7,all,separable_W_times_R,impulse_relative_frobenius,30,30,0,0.0,0.3911340930821643,0.38041892932799926,0.041172694030965865,0.3408831202862328,0.4913915293720089,0.34874593622858147,0.3550755446791096,0.41758483952253844,0.4440699184382643
r=0.7,0.7,all,separable_W_times_R,step_relative_frobenius,30,30,0,0.0,0.10249404846272699,0.09101989260839147,0.03969663669252756,0.04080820393518276,0.2034899209683431,0.06693219770999746,0.07368469188448712,0.1195197791653463,0.15641533769718619
r=0.7,0.7,all,separable_W_times_R,frequency_relative_frobenius,30,30,0,0.0,0.3911340930821643,0.38041892932799914,0.04117269403096589,0.3408831202862328,0.491391529372009,0.3487459362285814,0.3550755446791096,0.4175848395225386,0.44406991843826427
