construction,set,horizon,p,alpha,validation_nrmse
AR,Z,1,50,1e-08,0.18878475456626628
NVAR2,Z,1,50,1e-08,0.18839699562996104
tapped_delay,Z,1,16,1e-08,0.20244645033335798
AR,Z,2,50,1e-08,0.3909168537255078
NVAR2,Z,2,50,1e-08,0.3900894150698274
tapped_delay,Z,2,16,1e-08,0.41323211561004164
AR,Z,4,50,1e-08,0.7421460022504496
NVAR2,Z,4,50,1e-08,0.7410504396866598
tapped_delay,Z,4,16,1e-08,0.7527302156521541
AR,Z,8,50,1e-08,0.846771357918281
NVAR2,Z,8,50,1e-08,0.8468515883648053
tapped_delay,Z,8,16,1e-08,0.8575425857316509
AR,Z,16,50,1e-08,0.8679324434397185
NVAR2,Z,16,50,1e-08,0.8680785323581764
tapped_delay,Z,16,16,1e-08,0.8741176492182879
AR,Z,32,50,1e-08,0.9218127365450419
NVAR2,Z,32,50,1e-08,0.921920218001035
tapped_delay,Z,32,16,1e-08,0.9273402544093561
AR,Z,64,50,1e-08,0.9615955515865263
NVAR2,Z,64,50,1e-08,0.9620277806326795
tapped_delay,Z,64,16,1e-08,0.9718635030116504
AR,Z,128,50,1e-08,0.9779513199186045
NVAR2,Z,128,50,1e-08,0.9781044045625207
tapped_delay,Z,128,16,1e-08,0.9879776567930402
AR,F,1,50,1e-08,0.11227481556693418
NVAR2,F,1,50,1e-08,0.1126687958286346
tapped_delay,F,1,16,0.001,0.11618977202611376
AR,F,2,50,1e-08,0.2289639116745029
NVAR2,F,2,50,1e-08,0.23004684193686703
tapped_delay,F,2,16,1e-08,0.2359503478275844
AR,F,4,50,1e-08,0.4998992577633991
NVAR2,F,4,50,1e-08,0.5016092878088828
tapped_delay,F,4,16,1e-08,0.5039521132745826
AR,F,8,50,1e-08,0.7773487393973608
NVAR2,F,8,50,1e-08,0.7666868970089864
tapped_delay,F,8,16,1e-08,0.7796951087166962
AR,F,16,15,1e-08,0.9324103170630725
NVAR2,F,16,15,1e-08,0.9266589174283727
tapped_delay,F,16,16,1e-08,0.9324036907396742
AR,F,32,2,1e-08,0.9985335148463143
NVAR2,F,32,2,1e-08,0.9977156491523699
tapped_delay,F,32,16,1e-08,0.9996046099651337
AR,F,64,50,100.0,0.9993110355996042
NVAR2,F,64,50,100.0,0.9903138024787441
tapped_delay,F,64,16,1e-08,1.0039011809906315
AR,F,128,1,100.0,1.0005564388260282
NVAR2,F,128,1,100.0,1.003614099124294
tapped_delay,F,128,16,100.0,1.0010024023851853
AR,S,1,50,100.0,0.1717952838441143
NVAR2,S,1,50,100.0,0.16853055844025505
tapped_delay,S,1,16,0.1,0.17212624235969737
AR,S,2,50,100.0,0.3933626912986105
NVAR2,S,2,50,100.0,0.38304400922729215
tapped_delay,S,2,16,0.1,0.39465500355960254
AR,S,4,50,100.0,0.850777705669029
NVAR2,S,4,50,100.0,0.8347419393959307
tapped_delay,S,4,16,0.1,0.8564587819782002
AR,S,8,50,100.0,0.9916311057916919
NVAR2,S,8,50,100.0,0.9885373045119585
tapped_delay,S,8,16,100.0,0.9946835608432545
AR,S,16,50,100.0,0.9770116760883194
NVAR2,S,16,50,100.0,0.974811476023029
tapped_delay,S,16,16,100.0,0.9867576338345948
AR,S,32,50,100.0,1.0009065361789926
NVAR2,S,32,50,100.0,0.9983855569203044
tapped_delay,S,32,16,1.0,1.002364890584426
AR,S,64,25,100.0,0.998622907432566
NVAR2,S,64,25,100.0,1.000286468808059
tapped_delay,S,64,16,1e-08,0.9991540852580595
AR,S,128,50,100.0,0.9989373984242862
NVAR2,S,128,50,100.0,0.9985043705215007
tapped_delay,S,128,16,0.01,0.9995906253859556
