comparison,comparator,set,h_short,h_long,n_segments,kernel_degradation,comparator_degradation,interaction_comp_minus_kernel,ci95_lo,ci95_hi,p_wilcoxon,p_holm,expected_direction,significant_expected
single_kernel vs QRC_K0,QRC_K0,Z,2,64,20,0.5785041128393191,0.6103788181340339,0.0318747052947147,0.015702764263304463,0.05166237289808073,9.5367431640625e-06,0.00011444091796875,True,True
single_kernel vs AR,AR,Z,2,64,20,0.5785041128393191,0.6635679846421547,0.08506387180283556,0.046160679620483785,0.13314707175215507,0.0003223419189453125,0.0009670257568359375,True,True
single_kernel vs NVAR2,NVAR2,Z,2,64,20,0.5785041128393191,0.6664955261995227,0.08799141336020344,0.04996670146099993,0.13606550443228085,3.62396240234375e-05,0.0002899169921875,True,True
single_kernel vs persistence,persistence,Z,2,64,20,0.5785041128393191,0.7558216720196083,0.17731755918028902,0.1450760215902292,0.21134706416727683,1.9073486328125e-06,2.86102294921875e-05,True,True
single_kernel vs tapped_delay,tapped_delay,Z,2,64,20,0.5785041128393191,0.665087256161206,0.08658314332188685,0.03571509923395366,0.15117395406774653,8.20159912109375e-05,0.0005741119384765625,True,True
single_kernel vs QRC_K0,QRC_K0,F,2,64,20,0.675473097150306,0.71227838775174,0.03680529060143396,0.019668072170851075,0.056494717433043094,8.20159912109375e-05,0.0005741119384765625,True,True
single_kernel vs AR,AR,F,2,64,20,0.675473097150306,0.8321506774700069,0.15667758031970064,0.08484532071495808,0.2387732783815241,1.9073486328125e-05,0.000209808349609375,True,True
single_kernel vs NVAR2,NVAR2,F,2,64,20,0.675473097150306,0.8220047395083057,0.14653164235799962,0.08009744429091553,0.22369070648557354,5.7220458984375e-06,7.43865966796875e-05,True,True
single_kernel vs persistence,persistence,F,2,64,20,0.675473097150306,1.0272803232465193,0.35180722609621323,0.2880857742121421,0.426474722217412,1.9073486328125e-06,2.86102294921875e-05,True,True
single_kernel vs tapped_delay,tapped_delay,F,2,64,20,0.675473097150306,0.8483016012962186,0.17282850414591241,0.09172332067001937,0.2661106224072206,1.9073486328125e-05,0.000209808349609375,True,True
single_kernel vs QRC_K0,QRC_K0,S,2,64,20,0.6500202651735748,0.6468784544698565,-0.0031418107037182175,-0.0091714335220872,0.0029867242911990988,0.24548721313476562,0.24548721313476562,False,False
single_kernel vs AR,AR,S,2,64,20,0.6500202651735748,0.6706075379984273,0.02058727282485274,0.013105786598367494,0.02909456300489989,2.6702880859375e-05,0.000240325927734375,True,True
single_kernel vs NVAR2,NVAR2,S,2,64,20,0.6500202651735748,0.6718664381957485,0.021846173022173943,0.013141561846589978,0.03103685053629213,0.0001678466796875,0.00067138671875,True,True
single_kernel vs persistence,persistence,S,2,64,20,0.6500202651735748,0.7245930105627586,0.07457274538918401,0.023677220639506818,0.12896816419062068,0.029575347900390625,0.05915069580078125,True,False
single_kernel vs tapped_delay,tapped_delay,S,2,64,20,0.6500202651735748,0.6697363170438283,0.019716051870253735,0.011703371119473845,0.02910172131780404,0.0001049041748046875,0.0005741119384765625,True,True
