construction,hp,mean_val_nrmse,seconds
AB_noaux,"{""tau"": 5, ""delayed_mass"": 0.3}",0.6048578029309868,76.88366453700291
AB_noaux,"{""tau"": 5, ""delayed_mass"": 0.5}",0.6349099227112062,76.660978822998
AB_noaux,"{""tau"": 15, ""delayed_mass"": 0.3}",0.6250412206502561,80.04459066600248
AB_noaux,"{""tau"": 15, ""delayed_mass"": 0.5}",0.6582321084053628,81.04297564399894
single_kernel,"{""K"": 15, ""r"": 0.7, ""past_mass"": 0.3}",0.571800776036522,89.79494872299983
single_kernel,"{""K"": 15, ""r"": 0.7, ""past_mass"": 0.5}",0.5759659796839671,89.3683398840003
single_kernel,"{""K"": 15, ""r"": 0.9, ""past_mass"": 0.3}",0.5721244907700392,89.11621387900232
single_kernel,"{""K"": 15, ""r"": 0.9, ""past_mass"": 0.5}",0.5858018210178788,89.28739404399676
dual_kernel,"{""K"": 15, ""r_fast"": 0.5, ""r_slow"": 0.9, ""fast_mass"": 0.2, ""slow_mass"": 0.2}",0.5728475628775107,89.18421698799648
dual_kernel,"{""K"": 15, ""r_fast"": 0.5, ""r_slow"": 0.9, ""fast_mass"": 0.2, ""slow_mass"": 0.3}",0.5753965432353962,89.35285571100394
triangular,"{""K"": 15, ""past_mass"": 0.3}",0.5726141614405984,89.26005548200192
triangular,"{""K"": 15, ""past_mass"": 0.5}",0.5878749652514919,89.24964251600613
uniform,"{""K"": 15, ""past_mass"": 0.3}",0.5764679451225366,89.24060568500136
uniform,"{""K"": 15, ""past_mass"": 0.5}",0.6012997585546631,89.23873818099673
ESN,"{""n_reservoir"": 200, ""spectral_radius"": 0.5, ""input_scale"": 1.0, ""leak_rate"": 0.3}",0.6000674131448815,108.2791743810012
ESN,"{""n_reservoir"": 200, ""spectral_radius"": 0.5, ""input_scale"": 1.0, ""leak_rate"": 0.7}",0.5613057664283273,107.49490764999793
ESN,"{""n_reservoir"": 200, ""spectral_radius"": 0.9, ""input_scale"": 1.0, ""leak_rate"": 0.3}",0.6002426493990576,107.57714705800026
ESN,"{""n_reservoir"": 200, ""spectral_radius"": 0.9, ""input_scale"": 1.0, ""leak_rate"": 0.7}",0.5630565649547385,107.01838302700344
ESN,"{""n_reservoir"": 200, ""spectral_radius"": 1.2, ""input_scale"": 1.0, ""leak_rate"": 0.3}",0.6157745577212028,106.61385470900132
ESN,"{""n_reservoir"": 200, ""spectral_radius"": 1.2, ""input_scale"": 1.0, ""leak_rate"": 0.7}",0.5693548391574215,107.07281343600334
