construction,set,horizon,seed,segment_id,nrmse,rmse,r2,mae
persistence,Z,1,1,Z005,0.36785120293479634,0.34476625061593585,0.8646854924994233,0.2694785556334754
persistence,Z,1,1,Z007,0.4232588392961318,0.406333658656367,0.8208519549576913,0.3229830466985058
persistence,Z,1,1,Z009,0.3102824517469838,0.20385760326894828,0.9037248001378806,0.1627578409172727
persistence,Z,1,1,Z011,0.31610185700726884,0.25209057670589263,0.9000796159965562,0.20118491671104335
persistence,Z,1,1,Z013,0.29401310823609184,0.19982686290546725,0.9135562921853522,0.15766683248324198
persistence,Z,1,1,Z019,0.2978987863572854,0.18999098448134963,0.9112563130868564,0.15048588529873963
persistence,Z,1,1,Z028,0.3246478475880547,0.2267942447267622,0.8946037750564432,0.176589529150074
persistence,Z,1,1,Z030,0.6315576290901201,0.6906180923171317,0.6011349611380663,0.5498958300963899
persistence,Z,1,1,Z034,0.4570489648438246,0.41090214360105565,0.7911062437351883,0.32470235591687413
persistence,Z,1,1,Z035,0.2557216671973179,0.29799541079251257,0.9346064289258241,0.238294198612891
persistence,Z,1,1,Z037,0.35572101716409266,0.3383483000941952,0.8734625579477433,0.2682894525513105
persistence,Z,1,1,Z067,0.3292822091359279,0.32258102520068094,0.891573226746563,0.257391914780994
persistence,Z,1,1,Z068,0.37830727847673745,0.3270065504563901,0.8568836030515242,0.25782431590178123
persistence,Z,1,1,Z072,0.4372031587645025,0.4121162236243063,0.8088533979663413,0.32611280719182295
persistence,Z,1,1,Z073,0.3934529904882041,0.20673040929580075,0.8451947442758891,0.16221219188389832
persistence,Z,1,1,Z075,0.3352923449853891,0.30253678817970164,0.8875790433941988,0.240167936802969
persistence,Z,1,1,Z077,0.35572875278373683,0.3784921249934794,0.873457054442927,0.29745079004249747
persistence,Z,1,1,Z080,0.4182007562577015,0.19507279790261686,0.8251081274654866,0.15542761239345093
persistence,Z,1,1,Z082,0.4494525092020198,0.4507752036874157,0.7979924419720082,0.35634485222019735
persistence,Z,1,1,Z083,0.3705598310545949,0.231669301584397,0.8626854116087901,0.18128931752244004
persistence,Z,1,2,Z005,0.36785120293479634,0.34476625061593585,0.8646854924994233,0.2694785556334754
persistence,Z,1,2,Z007,0.4232588392961318,0.406333658656367,0.8208519549576913,0.3229830466985058
persistence,Z,1,2,Z009,0.3102824517469838,0.20385760326894828,0.9037248001378806,0.1627578409172727
persistence,Z,1,2,Z011,0.31610185700726884,0.25209057670589263,0.9000796159965562,0.20118491671104335
persistence,Z,1,2,Z013,0.29401310823609184,0.19982686290546725,0.9135562921853522,0.15766683248324198
persistence,Z,1,2,Z019,0.2978987863572854,0.18999098448134963,0.9112563130868564,0.15048588529873963
persistence,Z,1,2,Z028,0.3246478475880547,0.2267942447267622,0.8946037750564432,0.176589529150074
persistence,Z,1,2,Z030,0.6315576290901201,0.6906180923171317,0.6011349611380663,0.5498958300963899
persistence,Z,1,2,Z034,0.4570489648438246,0.41090214360105565,0.7911062437351883,0.32470235591687413
persistence,Z,1,2,Z035,0.2557216671973179,0.29799541079251257,0.9346064289258241,0.238294198612891
persistence,Z,1,2,Z037,0.35572101716409266,0.3383483000941952,0.8734625579477433,0.2682894525513105
persistence,Z,1,2,Z067,0.3292822091359279,0.32258102520068094,0.891573226746563,0.257391914780994
persistence,Z,1,2,Z068,0.37830727847673745,0.3270065504563901,0.8568836030515242,0.25782431590178123
persistence,Z,1,2,Z072,0.4372031587645025,0.4121162236243063,0.8088533979663413,0.32611280719182295
persistence,Z,1,2,Z073,0.3934529904882041,0.20673040929580075,0.8451947442758891,0.16221219188389832
persistence,Z,1,2,Z075,0.3352923449853891,0.30253678817970164,0.8875790433941988,0.240167936802969
persistence,Z,1,2,Z077,0.35572875278373683,0.3784921249934794,0.873457054442927,0.29745079004249747
persistence,Z,1,2,Z080,0.4182007562577015,0.19507279790261686,0.8251081274654866,0.15542761239345093
persistence,Z,1,2,Z082,0.4494525092020198,0.4507752036874157,0.7979924419720082,0.35634485222019735
persistence,Z,1,2,Z083,0.3705598310545949,0.231669301584397,0.8626854116087901,0.18128931752244004
persistence,Z,1,3,Z005,0.36785120293479634,0.34476625061593585,0.8646854924994233,0.2694785556334754
persistence,Z,1,3,Z007,0.4232588392961318,0.406333658656367,0.8208519549576913,0.3229830466985058
persistence,Z,1,3,Z009,0.3102824517469838,0.20385760326894828,0.9037248001378806,0.1627578409172727
persistence,Z,1,3,Z011,0.31610185700726884,0.25209057670589263,0.9000796159965562,0.20118491671104335
persistence,Z,1,3,Z013,0.29401310823609184,0.19982686290546725,0.9135562921853522,0.15766683248324198
