construction,seed,alpha,auroc,auprc,seconds
single_kernel,1,1e-06,0.99125,0.9814790122588111,114.65074354299577
single_kernel,2,1e-07,0.98625,0.9720958953756941,106.60300212001312
single_kernel,3,1e-07,0.99125,0.9823421074969063,113.57710468600271
single_kernel,4,1e-06,0.995,0.990322966507177,102.83088552000117
single_kernel,5,1e-06,0.9975,0.9951190476190477,113.45053212399944
single_kernel,6,1e-08,0.9925,0.984604012258811,112.5830878939887
single_kernel,7,1e-06,0.99375,0.99,112.73723245300062
single_kernel,8,1e-07,0.98375,0.9619311040266922,112.66555509499449
single_kernel,9,1e-08,0.995,0.9897096908939014,112.87742378300754
single_kernel,10,1e-06,0.995,0.9897096908939014,112.36360342800617
dual_kernel,1,1e-07,0.97125,0.9164431045484182,113.37893959401117
dual_kernel,2,1e-07,0.98625,0.9723870217423354,113.21555242499744
dual_kernel,3,1e-06,0.97625,0.9471247635756654,112.94668324099621
dual_kernel,4,1e-07,0.9875,0.9748739272423483,114.59742341299716
dual_kernel,5,1e-06,0.9925,0.9884615384615385,113.47114891000092
dual_kernel,6,1e-07,0.9775,0.9423684292237429,114.08871622299193
dual_kernel,7,1e-06,0.99625,0.9934782608695651,104.57163777999813
dual_kernel,8,1e-07,0.98125,0.9452104197402186,113.22483990399633
dual_kernel,9,1e-07,0.98875,0.9745742503540491,113.23690393999277
dual_kernel,10,1e-06,0.995,0.9897096908939014,114.0755933879991
AB_noaux,1,1e-07,0.9825,0.9594457239097332,82.5039600119926
AB_noaux,2,1e-07,0.9875,0.9723123455921443,82.76864008700068
AB_noaux,3,1e-07,0.98375,0.9636123905763998,82.26342350400228
AB_noaux,4,1e-08,0.99125,0.9814790122588111,81.26641430400196
AB_noaux,5,1e-07,1.0,1.0,81.11418025298917
AB_noaux,6,1e-07,0.99,0.9804294827979039,81.01713981899957
AB_noaux,7,1e-06,0.99375,0.9867685144233131,81.19814950598811
AB_noaux,8,1e-07,0.9875,0.9735153531109413,81.34731907400419
AB_noaux,9,1e-07,1.0,1.0,81.31177527499676
AB_noaux,10,1e-06,0.995,0.9909782608695652,81.16503065198776
ESN_66,1,0.001,0.41125,0.4739272927907438,3.7599687409965554
ESN_66,2,0.0001,0.51875,0.568021451047786,3.78906120499596
ESN_66,3,1e-05,0.5775,0.5654733267649482,3.808968398006982
ESN_66,4,0.0001,0.56125,0.5837438482501953,3.7681630769948242
ESN_66,5,0.0001,0.5275,0.5604483450071884,3.772780999002862
ESN_66,6,0.0001,0.52875,0.5628986543094084,3.786237351989257
ESN_66,7,1e-05,0.61625,0.6052617264050831,3.7813002379989484
ESN_66,8,1e-07,0.6,0.5561424403724595,3.763876300989068
ESN_66,9,1e-07,0.61875,0.5508726374911772,3.772372774008545
ESN_66,10,1e-07,0.6225,0.5845153425350746,3.7667473089968553
