model,set,horizon,channel_seed,segment_id,nrmse_new,nrmse_reference,abs_nrmse_difference
QRC_K0,Z,1,1,Z005,0.264256909273879,0.264256909273879,0.0
QRC_K0,Z,1,1,Z007,0.2509089554140169,0.2509089554140169,0.0
QRC_K0,Z,1,1,Z009,0.24985528690928815,0.2498552869092881,5.551115123125783e-17
QRC_K0,Z,1,1,Z011,0.25004058753739716,0.2500405875373971,5.551115123125783e-17
QRC_K0,Z,1,1,Z013,0.21527424963819847,0.2152742496381984,5.551115123125783e-17
QRC_K0,Z,1,1,Z019,0.21796213806823575,0.2179621380682357,5.551115123125783e-17
QRC_K0,Z,1,1,Z028,0.2281014263557893,0.2281014263557893,0.0
QRC_K0,Z,1,1,Z030,0.6000902970469268,0.6000902970469268,0.0
QRC_K0,Z,1,1,Z034,0.3985458748851136,0.3985458748851136,0.0
QRC_K0,Z,1,1,Z035,0.15989427231807551,0.1598942723180755,2.7755575615628914e-17
QRC_K0,Z,1,1,Z037,0.22082497792708722,0.2208249779270872,2.7755575615628914e-17
QRC_K0,Z,1,1,Z067,0.21444189754353818,0.2144418975435381,8.326672684688674e-17
QRC_K0,Z,1,1,Z068,0.25149740104895646,0.2514974010489564,5.551115123125783e-17
QRC_K0,Z,1,1,Z072,0.24410062450275619,0.2441006245027561,8.326672684688674e-17
QRC_K0,Z,1,1,Z073,0.28141788909084464,0.2814178890908446,5.551115123125783e-17
QRC_K0,Z,1,1,Z075,0.20276016807272906,0.202760168072729,5.551115123125783e-17
QRC_K0,Z,1,1,Z077,0.22281212550888196,0.2228121255088819,5.551115123125783e-17
QRC_K0,Z,1,1,Z080,0.2997087819322423,0.2997087819322423,0.0
QRC_K0,Z,1,1,Z082,0.2949192464366091,0.2949192464366091,0.0
QRC_K0,Z,1,1,Z083,0.2505480749760092,0.2505480749760092,0.0
QRC_K0,Z,2,1,Z005,0.4832440012389536,0.4832440012389536,0.0
QRC_K0,Z,2,1,Z007,0.5170949032686744,0.5170949032686744,0.0
QRC_K0,Z,2,1,Z009,0.46380811791119403,0.463808117911194,5.551115123125783e-17
QRC_K0,Z,2,1,Z011,0.4744174270666747,0.4744174270666747,0.0
QRC_K0,Z,2,1,Z013,0.4341068385383709,0.4341068385383709,0.0
