set,model,horizon,channel_seed,noise_replicate,shots,shot_label,segment_id,selected_alpha,nrmse,rmse,r2,mae
Z,QRC_K0,1,1,0,0,exact,Z005,1e-08,0.264256909273879,0.2476731436049157,0.9301682859010169,0.19561828925361543
Z,QRC_K0,1,1,0,0,exact,Z007,1e-08,0.2509089554140169,0.24087566372522656,0.9370446960930469,0.19186463799607367
Z,QRC_K0,1,1,0,0,exact,Z009,1e-08,0.24985528690928815,0.16415656014906438,0.9375723356034773,0.12997775248434118
Z,QRC_K0,1,1,0,0,exact,Z011,1e-08,0.25004058753739716,0.1994068510351498,0.9374797045839532,0.15998158013484043
Z,QRC_K0,1,1,0,0,exact,Z013,1e-08,0.21527424963819847,0.14631176898067622,0.9536569974427106,0.11657091999941693
Z,QRC_K0,1,1,0,0,exact,Z019,1e-08,0.21796213806823575,0.13900976804107487,0.9524925063687233,0.11036657016283717
Z,QRC_K0,1,1,0,0,exact,Z028,1e-08,0.2281014263557893,0.15934832494901122,0.9479697392944544,0.1256102534559034
Z,QRC_K0,1,1,0,0,exact,Z030,1e-08,0.6000902970469268,0.6562080752023216,0.6398916353901312,0.5220016560259702
Z,QRC_K0,1,1,0,0,exact,Z034,1e-08,0.3985458748851136,0.35830592980253195,0.8411611856120593,0.27972160431580206
Z,QRC_K0,1,1,0,0,exact,Z035,1e-08,0.15989427231807551,0.18632664132456636,0.9744338216798731,0.14834675806628478
Z,QRC_K0,1,1,0,0,exact,Z037,1e-08,0.22082497792708722,0.2100403189432635,0.9512363291235014,0.16759992611922364
Z,QRC_K0,1,1,0,0,exact,Z067,1e-08,0.21444189754353818,0.21007781543101378,0.9540146725779267,0.16781175148887728
Z,QRC_K0,1,1,0,0,exact,Z068,1e-08,0.25149740104895646,0.21739285032239652,0.9367490572656203,0.1716570771986533
Z,QRC_K0,1,1,0,0,exact,Z072,1e-08,0.24410062450275619,0.23009400901560562,0.9404148851173644,0.18152685368873728
Z,QRC_K0,1,1,0,0,exact,Z073,1e-08,0.28141788909084464,0.147864260283605,0.9208039716996531,0.11859129439798287
Z,QRC_K0,1,1,0,0,exact,Z075,1e-08,0.20276016807272906,0.18295201467296554,0.9588883142431187,0.1458958001402258
Z,QRC_K0,1,1,0,0,exact,Z077,1e-08,0.22281212550888196,0.2370700546363765,0.9503547567262143,0.18493236943492292
Z,QRC_K0,1,1,0,0,exact,Z080,1e-08,0.2997087819322423,0.13980135084088838,0.9101746460326916,0.112002639754115
Z,QRC_K0,1,1,0,0,exact,Z082,1e-08,0.2949192464366091,0.29578716474368766,0.9130226380812626,0.23242954315480527
Z,QRC_K0,1,1,0,0,exact,Z083,1e-08,0.2505480749760092,0.15663947540621442,0.937225662125816,0.12126862052999515
Z,QRC_K0,2,1,0,0,exact,Z005,1e-08,0.4832440012389536,0.4529733662620114,0.7664752352665661,0.3580913854393432
Z,QRC_K0,2,1,0,0,exact,Z007,1e-08,0.5170949032686744,0.4959130510384404,0.7326128610135604,0.39291415132854696
Z,QRC_K0,2,1,0,0,exact,Z009,1e-08,0.46380811791119403,0.304714190738824,0.7848820297596759,0.24203986942608444
Z,QRC_K0,2,1,0,0,exact,Z011,1e-08,0.4744174270666747,0.37829689187383886,0.7749281048954364,0.30211870586829775
Z,QRC_K0,2,1,0,0,exact,Z013,1e-08,0.4341068385383709,0.29507585997503505,0.8115512527342208,0.23674044203195863
Z,QRC_K0,2,1,0,0,exact,Z019,1e-08,0.43488855876067234,0.2773645910447352,0.8108719414590653,0.21997769097365852
Z,QRC_K0,2,1,0,0,exact,Z028,1e-08,0.43848547398129634,0.3063555778017433,0.807730489107398,0.24142198374279314
Z,QRC_K0,2,1,0,0,exact,Z030,1e-08,0.9020480115254343,0.9864983923379093,0.18630938490300974,0.7836744726359857
Z,QRC_K0,2,1,0,0,exact,Z034,1e-08,0.6597207181135819,0.5930722403480957,0.5647685740916999,0.47119303699564086
Z,QRC_K0,2,1,0,0,exact,Z035,1e-08,0.3304227996684042,0.38508568903939394,0.8908207734592937,0.3085797207794795
Z,QRC_K0,2,1,0,0,exact,Z037,1e-08,0.4378320410642834,0.416444385764967,0.8083031038174836,0.3302435031283729
Z,QRC_K0,2,1,0,0,exact,Z067,1e-08,0.415885074674141,0.4074717796503628,0.8270396046632842,0.32551553191029825
Z,QRC_K0,2,1,0,0,exact,Z068,1e-08,0.4842446006727739,0.41857662881167745,0.7655071667192657,0.3327035612264715
Z,QRC_K0,2,1,0,0,exact,Z072,1e-08,0.5213520231268255,0.4914879877462603,0.7281920679815659,0.3882959611917686
Z,QRC_K0,2,1,0,0,exact,Z073,1e-08,0.527641837023766,0.2772706301480815,0.7215940918221855,0.22208321194616126
Z,QRC_K0,2,1,0,0,exact,Z075,1e-08,0.4284827152987239,0.3866516554893532,0.8164025626902327,0.307643647526342
Z,QRC_K0,2,1,0,0,exact,Z077,1e-08,0.4537204224627787,0.48278738223144285,0.7941377782401977,0.38019952266207474
Z,QRC_K0,2,1,0,0,exact,Z080,1e-08,0.5635618597896216,0.2628888665277103,0.6823980301904629,0.21135498261480862
Z,QRC_K0,2,1,0,0,exact,Z082,1e-08,0.5682691222177989,0.5699122179454108,0.6770702047338122,0.452029231870023
Z,QRC_K0,2,1,0,0,exact,Z083,1e-08,0.4798428459131502,0.30000719086359356,0.7697508432259688,0.23542039302910292
Z,QRC_K0,4,1,0,0,exact,Z005,1e-08,0.8213446102434104,0.7700582138508131,0.32539303122410024,0.6020615094446008
Z,QRC_K0,4,1,0,0,exact,Z007,1e-08,0.9177322578725856,0.8790498409846852,0.15776750286008578,0.6975017116427361
Z,QRC_K0,4,1,0,0,exact,Z009,1e-08,0.7873477461419967,0.5172181291506224,0.3800835266451179,0.41112991933275794
Z,QRC_K0,4,1,0,0,exact,Z011,1e-08,0.8254815624374888,0.6580333582077819,0.3185801900757621,0.5249435261246428
Z,QRC_K0,4,1,0,0,exact,Z013,1e-08,0.8190558796228831,0.5568709933222562,0.3291474660551852,0.44524320258479383
Z,QRC_K0,4,1,0,0,exact,Z019,1e-08,0.8013268490783054,0.511183961445673,0.35787528094623455,0.4051024121259117
