set,model,horizon,shots,mean_nrmse,median_nrmse_inflation,mean_nrmse_inflation,paired_segment_ci95_low,paired_segment_ci95_high,median_relative_nrmse_inflation,mean_relative_nrmse_inflation,p90_relative_nrmse_inflation,useful_horizon,criterion,exact_useful_horizon,useful_horizon_change_from_exact
F,AB_noaux,1,100,0.7424658860772922,0.422951844104131,0.4859133167721713,0.39239570259459666,0.5918059849592667,1.9161189853203984,2.14015451447257,3.6280247175701685,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,AB_noaux,1,300,0.6133921948787655,0.2939942618097964,0.3568396255736446,0.2761824393683174,0.44149346903057624,1.3968380862098613,1.5772328211868318,2.832566259641659,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,AB_noaux,1,1000,0.5048151572140692,0.20140076093932818,0.2482625879089482,0.18764910688705727,0.3144176132378751,1.0182910021572027,1.1060637888219722,2.075429051982317,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,AB_noaux,1,3000,0.4394086230205462,0.14086663297405835,0.1828560537154252,0.13376765665423246,0.23517737745003608,0.6784561672339944,0.8206694536359856,1.6336403784319868,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,AB_noaux,1,10000,0.3908597217730314,0.10389154300500765,0.13430715246791053,0.09513194472375008,0.17792416735128647,0.49440418675261477,0.6055098570333857,1.2645838186751794,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,AB_noaux,2,100,0.8022238181429655,0.34734494416603084,0.4146540627399858,0.33209140185831604,0.5085602537314807,1.1090757206057904,1.1651334633970822,1.9665043452814026,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,AB_noaux,2,300,0.6902399779527233,0.23727197681131065,0.3026702225497436,0.23568721715579555,0.37210737628957885,0.7816216908522642,0.8520275058521958,1.5211268337093558,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,AB_noaux,2,1000,0.5947736854019839,0.1618812379062174,0.20720392999900408,0.1576813625872068,0.26256071649066665,0.5270736831773808,0.5864976514362632,1.112681595007821,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,AB_noaux,2,3000,0.5367867814689303,0.11294442354899754,0.14921702606595053,0.10512384439514572,0.19483872428191734,0.3606696907966377,0.42441846632994995,0.8394699995928031,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,AB_noaux,2,10000,0.4919615567804927,0.07867702107445915,0.10439180137751292,0.07253803373321502,0.1386551444181181,0.24944182559165645,0.297804071119407,0.6173268180270308,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
