analysis,scope,shots,set,model,horizon,median_absolute_nrmse_inflation,mean_absolute_nrmse_inflation,median_relative_nrmse_inflation,p90_relative_nrmse_inflation,n_rows,passing_strata,total_strata,passing_fraction,notes,comparator,interaction,interaction_change_from_exact,magnitude_ratio_to_exact,sign_preserved
inflation,global,100,ALL,ALL,ALL,0.049706750436024294,0.1351877680015807,0.04946863201023845,1.4417570541226903,43200.0,,,,,,,,,
inflation,global,300,ALL,ALL,ALL,0.0382680295005067,0.10015770565619286,0.0386263109358474,1.0138971732006976,43200.0,,,,,,,,,
inflation,global,1000,ALL,ALL,ALL,0.02864294294242845,0.07113537576855268,0.029070182696974797,0.664243953210731,43200.0,,,,,,,,,
inflation,global,3000,ALL,ALL,ALL,0.02126343403826135,0.05217233747187398,0.021822447585845048,0.4600803631426346,43200.0,,,,,,,,,
inflation,global,10000,ALL,ALL,ALL,0.0152909734428937,0.03706354635012595,0.0157682932934197,0.31048381811046744,43200.0,,,,,,,,,
inflation,set,100,F,ALL,ALL,0.08938945833573905,0.18510937574771813,0.09283703555063905,1.8450195859976135,14400.0,,,,,,,,,
inflation,set,300,F,ALL,ALL,0.0710859651110996,0.13892337935300117,0.0720819418610109,1.3803751230555275,14400.0,,,,,,,,,
inflation,set,1000,F,ALL,ALL,0.05090626452606735,0.09857152252214224,0.054296224871543994,0.9838706613935826,14400.0,,,,,,,,,
inflation,set,3000,F,ALL,ALL,0.0371638636394501,0.07279732328304953,0.04048189184283905,0.7228406011888441,14400.0,,,,,,,,,
inflation,set,10000,F,ALL,ALL,0.02790967200296995,0.05315443836688832,0.03098983207383355,0.5259655589959346,14400.0,,,,,,,,,
inflation,set,100,S,ALL,ALL,0.0284778500127166,0.12885190621764991,0.02922797309583935,1.6597068129672188,14400.0,,,,,,,,,
inflation,set,300,S,ALL,ALL,0.02138406431077535,0.09755327074723293,0.021992491447787497,1.1718420880357252,14400.0,,,,,,,,,
inflation,set,1000,S,ALL,ALL,0.0154139446047579,0.07267303609588512,0.015688301504993098,0.8042660496497445,14400.0,,,,,,,,,
inflation,set,3000,S,ALL,ALL,0.010956266121968952,0.05593460869109703,0.01111320354524295,0.5739968906054144,14400.0,,,,,,,,,
inflation,set,10000,S,ALL,ALL,0.00739296180791175,0.041306753257544244,0.00754992885282945,0.3923335131612083,14400.0,,,,,,,,,
inflation,set,100,Z,ALL,ALL,0.03741071874655105,0.09160202203937393,0.037262886930652245,0.8718920849770754,14400.0,,,,,,,,,
inflation,set,300,Z,ALL,ALL,0.0277784201432478,0.06399646686834451,0.0273072267858392,0.5965897106558827,14400.0,,,,,,,,,
inflation,set,1000,Z,ALL,ALL,0.01866304719031595,0.042161568687630685,0.01868639941034315,0.3863010045438115,14400.0,,,,,,,,,
inflation,set,3000,Z,ALL,ALL,0.01294635488885425,0.027785080441475384,0.013081606076819949,0.25260272868769157,14400.0,,,,,,,,,
inflation,set,10000,Z,ALL,ALL,0.008359726771075899,0.016729447425945274,0.008575789072454602,0.15193943513528974,14400.0,,,,,,,,,
inflation,model,100,ALL,AB_noaux,ALL,0.0512048445024266,0.12645805577112065,0.0514950331052663,1.135898629039918,14400.0,,,,,,,,,
inflation,model,300,ALL,AB_noaux,ALL,0.04036516885611005,0.09222977869586375,0.0408439247980308,0.7693878664464177,14400.0,,,,,,,,,
inflation,model,1000,ALL,AB_noaux,ALL,0.031220092235961748,0.0646900264687137,0.03175744658010685,0.4973955549114827,14400.0,,,,,,,,,
inflation,model,3000,ALL,AB_noaux,ALL,0.0231718102387487,0.047810101932268007,0.0240508056416217,0.34577795701530306,14400.0,,,,,,,,,
inflation,model,10000,ALL,AB_noaux,ALL,0.01692040679691685,0.03454401483768376,0.018013549174025548,0.24681708654995227,14400.0,,,,,,,,,
inflation,model,100,ALL,QRC_K0,ALL,0.04193329148639585,0.13604743598672606,0.0408627322188094,1.5797571525037313,14400.0,,,,,,,,,
inflation,model,300,ALL,QRC_K0,ALL,0.031529698036777354,0.10082078075344886,0.03115318096951775,1.1355823373556373,14400.0,,,,,,,,,
inflation,model,1000,ALL,QRC_K0,ALL,0.022259504349109602,0.07047713883006425,0.022138859044938848,0.7441895872059217,14400.0,,,,,,,,,
inflation,model,3000,ALL,QRC_K0,ALL,0.0154242836521054,0.049557737149482556,0.015474234669594949,0.5035439935493894,14400.0,,,,,,,,,
inflation,model,10000,ALL,QRC_K0,ALL,0.01049513079302955,0.034008057816085874,0.0106919148564553,0.3216855840343187,14400.0,,,,,,,,,
inflation,model,100,ALL,single_kernel,ALL,0.0544636064321134,0.14305781224689532,0.0544600281469374,1.608512704000155,14400.0,,,,,,,,,
inflation,model,300,ALL,single_kernel,ALL,0.04273960201909845,0.10742255751926598,0.04357975631891265,1.150062732442551,14400.0,,,,,,,,,
inflation,model,1000,ALL,single_kernel,ALL,0.0325388340502416,0.0782389620068801,0.033711034859189554,0.7938271265406643,14400.0,,,,,,,,,
inflation,model,3000,ALL,single_kernel,ALL,0.0247668457152069,0.059149173333871395,0.0259020897272998,0.5746245744305187,14400.0,,,,,,,,,
inflation,model,10000,ALL,single_kernel,ALL,0.01785868270151325,0.04263856639660821,0.0188198525035458,0.38978079533424626,14400.0,,,,,,,,,
inflation,horizon,100,ALL,ALL,1,0.3522980296335208,0.40941741647611835,1.5917119393830168,3.778409075215681,5400.0,,,,,,,,,
inflation,horizon,300,ALL,ALL,1,0.24197551988712124,0.2907383170875282,1.0932517032640057,2.8406820888606834,5400.0,,,,,,,,,
