comparison,n_segments,mean_diff_rmse_comparator_minus_state,median_diff,ci95_lo,ci95_hi,p_wilcoxon,p_ttest,cohen_dz,wins_state,win_fraction_state,set,horizon,p_holm
dual_kernel vs single_kernel,20,-0.0023582630055264684,-0.002051316972848896,-0.0030993138441702066,-0.0016789166007610806,1.33514404296875e-05,4.7520337154347015e-06,-1.409285388451954,2,0.1,F,1,0.0003604888916015625
single_kernel vs AB_noaux,20,0.018276945769472676,0.019048732257250983,0.015783115088540172,0.020721652900514847,1.9073486328125e-06,1.6310327744128788e-11,3.1523024426467794,20,1.0,F,1,6.866455078125e-05
single_kernel vs ESN,20,-0.05165740329422834,-0.03335964770506318,-0.0795004705324755,-0.03356757316865443,1.9073486328125e-06,0.0005617645940151087,-0.9248152116861872,0,0.0,F,1,6.866455078125e-05
dual_kernel vs single_kernel,20,-0.0013513084056628682,-0.0014987683159158605,-0.0018818540806833416,-0.0007853951795253531,0.0007076263427734375,0.00016238262700720986,-1.0469305125094306,2,0.1,F,2,0.016275405883789062
single_kernel vs AB_noaux,20,0.018918649611810737,0.021561016157504914,0.014134333836577143,0.02350222046280116,9.5367431640625e-06,2.7996193020111324e-07,1.7276556339325189,18,0.9,F,2,0.00026702880859375
single_kernel vs ESN,20,-0.03495423904629469,-0.02817227308947301,-0.05010927359939074,-0.025073352520538494,1.9073486328125e-06,6.041431946379275e-05,-1.1455948998054195,0,0.0,F,2,6.866455078125e-05
dual_kernel vs single_kernel,20,0.0003716808908690916,0.0005842751896505405,-0.0012804799293988018,0.00183990621399332,0.2942523956298828,0.6507401377111612,0.10285804212878574,14,0.7,F,4,1.0
single_kernel vs AB_noaux,20,0.005556655720117404,0.012085254978140003,-0.003760838493517199,0.013129967323959338,0.06372261047363281,0.22577944166638853,0.2799458319013002,16,0.8,F,4,0.7009487152099609
single_kernel vs ESN,20,-0.008636984473469014,-0.006024962481088969,-0.01366434015805246,-0.003777215529378126,0.00485992431640625,0.003353013265075266,-0.7494022758188862,6,0.3,F,4,0.09233856201171875
dual_kernel vs single_kernel,20,0.0038466895859930127,0.003106472402591598,0.0006093131741642776,0.007276073890154223,0.029575347900390625,0.04095454897143561,0.4903701119495619,15,0.75,F,8,0.41405487060546875
single_kernel vs AB_noaux,20,0.002602887587555225,0.002366933597171217,-0.001238565809253302,0.006350911766279789,0.26109886169433594,0.20686308913778254,0.2922189671316021,12,0.6,F,8,1.0
single_kernel vs ESN,20,0.02097137808590547,0.01118557528181352,0.007593021221679308,0.0379950443369006,0.0042209625244140625,0.015764305247661703,0.5927994937446742,15,0.75,F,8,0.08441925048828125
dual_kernel vs single_kernel,20,-0.0007408801526879539,-0.0007915666608722255,-0.001497324028083279,9.217958369761899e-05,0.03623390197753906,0.08703075903522549,-0.4034962269122828,5,0.25,S,1,0.43480682373046875
single_kernel vs AB_noaux,20,0.0646524764381696,0.06602971418563128,0.05846166095336092,0.07086516366432724,1.9073486328125e-06,3.0722110866590544e-14,4.480995175102165,20,1.0,S,1,6.866455078125e-05
single_kernel vs ESN,20,-0.022477670397147816,-0.017673448026585818,-0.02931048620938139,-0.01701216605016207,1.9073486328125e-06,1.2015262487800267e-06,-1.5600507625383302,0,0.0,S,1,6.866455078125e-05
dual_kernel vs single_kernel,20,-0.0015712574037741566,-0.0015822624667368723,-0.002865955855484474,-0.00018980097911479982,0.01531219482421875,0.03709319042870004,-0.5013209267720531,4,0.2,S,2,0.2449951171875
single_kernel vs AB_noaux,20,0.0881676661589178,0.09064924655482609,0.07679756783630887,0.09929216010150299,1.9073486328125e-06,5.482598782410504e-12,3.3548456306952037,20,1.0,S,2,6.866455078125e-05
single_kernel vs ESN,20,-0.019024283037541175,-0.01874879948053075,-0.024983283885200377,-0.012897837028748426,2.6702880859375e-05,7.176682100219741e-06,-1.3653192372245808,2,0.1,S,2,0.00069427490234375
dual_kernel vs single_kernel,20,-0.00143061957774685,-0.0014853037226366106,-0.004220507004573882,0.0015045169577980045,0.2942523956298828,0.3559022990399866,-0.2115872906319727,7,0.35,S,4,1.0
single_kernel vs AB_noaux,20,0.046412545896908755,0.05441855494711312,0.024316975649621753,0.06401961256057884,0.0010166168212890625,0.00027512428214578006,0.994884331382628,18,0.9,S,4,0.021348953247070312
single_kernel vs ESN,20,-0.019129148853533857,-0.015689059895975688,-0.034444784475168105,-0.002806480618881013,0.017181396484375,0.0316885010850135,-0.5185574756594665,4,0.2,S,4,0.257720947265625
dual_kernel vs single_kernel,20,0.0020562791031670745,0.0012680510722168914,-0.000980634457895311,0.005433997457770624,0.2942523956298828,0.23619009918494027,0.2735273723220085,11,0.55,S,8,1.0
single_kernel vs AB_noaux,20,-0.0048400586171476025,-0.006083126033132491,-0.011598451418197148,0.0021654594083643027,0.2305126190185547,0.197168929490503,-0.29885234182037596,7,0.35,S,8,1.0
