comparison,n_patients,mean_diff_rmse_comparator_minus_state,median_diff,ci95_lo,ci95_hi,p_wilcoxon,p_ttest,cohen_dz,wins_state,win_fraction_state,set,horizon,p_holm,esn200_nrmse_mean_unmatched,esn200_nrmse_sem_unmatched,esn66_nrmse_mean_matched,esn66_nrmse_sem_matched
single_kernel vs ESN_66,20,-0.0062105426450879565,-0.0031712144765318473,-0.009772319243166825,-0.0032776496854099264,9.5367431640625e-06,0.0017869058011629612,-0.8114497304362095,2,0.1,F,1,0.00011444091796875,0.16412382205115703,0.00449976914766568,0.1669738075334798,0.0045224955175878784
single_kernel vs ESN_66,20,-0.001955333467752049,-0.0021656779647283575,-0.0030378294219350005,-0.0008137995483386755,0.001689910888671875,0.003361936396838512,-0.7491390365056263,4,0.2,F,2,0.013519287109375,0.30418616202756565,0.006574459491221966,0.30890535746653947,0.006603092215925153
single_kernel vs ESN_66,20,0.004417756155921518,0.0022194520434629106,0.0015606645718926778,0.007481157327815001,0.0072956085205078125,0.010525953243877267,0.6344858533213746,15,0.75,F,4,0.05106925964355469,0.5865421925192824,0.008971287652752197,0.5920024484366239,0.008983254802984463
single_kernel vs ESN_66,20,0.014489380460351281,0.013110164174343797,0.008525473727377865,0.02107664053143779,8.20159912109375e-05,0.00030478666968720064,0.9848114505895624,18,0.9,F,8,0.000820159912109375,0.8748512590212681,0.006743421109033271,0.8777533540069445,0.00658557621507348
single_kernel vs ESN_66,20,-0.0016212894823930553,-0.002426681434660183,-0.004212064424938244,0.0013157615958432531,0.06372261047363281,0.26975274721965836,-0.254198380710586,7,0.35,S,1,0.31861305236816406,0.14275921556988128,0.004231538829502087,0.1505492409603554,0.004306065454310936
single_kernel vs ESN_66,20,0.0016592819724302239,2.739304309423707e-05,-0.0034061099363410156,0.007692048408210603,0.7561664581298828,0.5707530154935488,0.1290077876078892,10,0.5,S,2,0.7767524719238281,0.32413099612983237,0.008371174085718209,0.3407481914223859,0.00821995257884385
single_kernel vs ESN_66,20,-0.01036800845965088,-0.00994961474830347,-0.020888589868885494,0.00024822474540142175,0.09730720520019531,0.07497147484952689,-0.42125845705533144,6,0.3,S,4,0.38922882080078125,0.707129593392009,0.012017681409750895,0.7296864996209882,0.010947582223201222
single_kernel vs ESN_66,20,0.003923169718556357,0.0030713029941839554,-0.012350105801504606,0.01996182073152417,0.21616744995117188,0.6423245610096504,0.10553532292255911,15,0.75,S,8,0.6485023498535156,0.9135712970246753,0.007716751147512165,0.929535047998155,0.006064441646943862
single_kernel vs ESN_66,20,-0.002388372616081484,-0.0034951946153403135,-0.003429962785901575,-0.0010076682453531082,0.0014324188232421875,0.0015198114850685964,-0.8273407957512283,2,0.1,Z,1,0.012891769409179688,0.25925224937038605,0.0062021698025305,0.2632722461114323,0.006372745291017515
single_kernel vs ESN_66,20,-0.0008322025498909314,-0.0004944443755742489,-0.002387565049093096,0.0007490932826684909,0.38837623596191406,0.3241163804991207,-0.22635564972776617,8,0.4,Z,2,0.7767524719238281,0.4898170157098834,0.007378549415521016,0.49711923999303737,0.00757149218137439
single_kernel vs ESN_66,20,0.0038331730936275676,0.00404147646783376,0.0012130654212573503,0.006403449540036291,0.013616561889648438,0.009959222915651,0.6401415585499902,14,0.7,Z,4,0.08169937133789062,0.8347474969961596,0.006060679566550833,0.8435123880695435,0.006188082317748092
single_kernel vs ESN_66,20,0.005365036722606259,0.005574520862082266,0.003579752850273375,0.007314153228829952,3.62396240234375e-05,2.8982975082519666e-05,1.220089776880704,18,0.9,Z,8,0.0003986358642578125,0.9417976446407057,0.0032206558370447224,0.9434211866743055,0.003088771369637044
