comparison,n_segments,mean_diff_rmse_comparator_minus_state,median_diff,ci95_lo,ci95_hi,p_wilcoxon,p_ttest,cohen_dz,wins_state,win_fraction_state,set,horizon,p_holm,esn200_nrmse_mean_unmatched_reference_only
single_kernel vs AB_noaux,20,0.006791999389725053,0.015437960351227631,-0.0032232895906504494,0.015237530423318432,0.05316925048828125,0.1759148495885104,0.3143551594116797,15,0.75,F,4,0.37218475341796875,0.620890627075098
single_kernel vs ESN_66,20,-0.005201283595665932,-0.004977471955586593,-0.012282835492108214,0.0009671589117946025,0.17685317993164062,0.1432836005237471,-0.3414054133967277,9,0.45,F,4,0.7074127197265625,0.620890627075098
single_kernel vs AB_noaux,20,0.004799895847297247,0.009700107712919737,-0.004867999639057168,0.013747371001228829,0.10539817810058594,0.33811153524905996,0.21973489520135775,16,0.8,F,8,0.6323890686035156,0.933216289069436
single_kernel vs ESN_66,20,0.022629533959625598,0.02119790917799469,0.011336811400085809,0.03434456863034653,0.000850677490234375,0.0013001571604591554,0.8426457628415781,16,0.8,F,8,0.009357452392578125,0.933216289069436
single_kernel vs AB_noaux,20,0.042442015013080425,0.04506704591454247,0.022365001777854783,0.05901291586803251,0.0005855560302734375,0.0002671883381233253,0.9977655685628368,19,0.95,S,4,0.00702667236328125,0.7338751569379025
single_kernel vs ESN_66,20,0.011817020832510811,-0.003169134281344299,-0.00414800618131806,0.028165848541228545,0.3299827575683594,0.1763264339283082,0.3140410529773496,9,0.45,S,4,0.7074127197265625,0.7338751569379025
single_kernel vs AB_noaux,20,-0.008482883032217125,-0.004576815731705264,-0.018596124096012485,0.0011429612602650873,0.21616744995117188,0.11435164212133403,-0.37006669110776297,7,0.35,S,8,0.7074127197265625,0.9563861779738858
single_kernel vs ESN_66,20,0.011816043641220847,0.00714472475345812,-0.007371054024366611,0.033359788786307805,0.36827659606933594,0.27500311725919185,0.25133995121278774,12,0.6,S,8,0.7074127197265625,0.9563861779738858
single_kernel vs AB_noaux,20,0.010747087411753398,0.006417165303407135,0.0033847984865710374,0.0181273601029476,0.03276824951171875,0.011644656555775275,0.6241314920298663,14,0.7,Z,4,0.26214599609375,0.8606327941837172
single_kernel vs ESN_66,20,0.02204291305468336,0.017421169223229338,0.006496860536968185,0.039431089069454396,0.026641845703125,0.019018275132977037,0.5731505112426112,13,0.65,Z,4,0.239776611328125,0.8606327941837172
single_kernel vs AB_noaux,20,0.0021776263813438777,0.0022413682040663407,-0.000127111611310446,0.00438888651026968,0.10539817810058594,0.07966260277468881,0.41407002982406577,13,0.65,Z,8,0.6323890686035156,0.9901870977227477
single_kernel vs ESN_66,20,0.03561255758117924,0.024527505337749445,0.013628153466026418,0.060231271254558336,0.006389617919921875,0.009029009382461492,0.6501323703848326,15,0.75,Z,8,0.06389617919921875,0.9901870977227477
