construction,set,useful_horizon,useful_horizon_ms,nrmse_at_useful_horizon,persistence_improvement_mean,persistence_improvement_ci95_lo,persistence_improvement_ci95_hi,bootstrap_resamples,criterion
AB_noaux,F,8.0,46.08029491388744,0.9148477985710859,0.19313749625921697,0.155993298896175,0.23153661413090712,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
AR,F,8.0,46.08029491388744,0.940654529104633,0.16733076572567007,0.13467529975544446,0.20262523308292132,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
ESN,F,8.0,46.08029491388744,0.933216289069436,0.1747690057608667,0.13228927489513034,0.2155329471269985,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
ESN_66,F,8.0,46.08029491388744,0.9326774366834141,0.17530785814688862,0.14055696148757751,0.2117973954826304,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
NVAR2,F,8.0,46.08029491388744,0.9440419033290863,0.16394339150121656,0.12102816207533273,0.20654816842821355,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
QRC_K0,F,8.0,46.08029491388744,0.9279934217486326,0.17999187308167014,0.14713040783855852,0.2140862445091203,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
dual_kernel,F,8.0,46.08029491388744,0.9071379811183382,0.20084731371196468,0.16620146188109025,0.2358665613952695,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
persistence,F,,,,,,,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
single_kernel,F,8.0,46.08029491388744,0.9100479027237884,0.19793739210651423,0.16529061807526224,0.2306301820383243,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
tapped_delay,F,8.0,46.08029491388744,0.9426790114798538,0.165306283350449,0.13650687643970602,0.1962287508649978,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
triangular,F,8.0,46.08029491388744,0.90982796685485,0.1981573279754528,0.16488739105818156,0.2318267469737283,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
