set,model,horizon,shots,mean_nrmse,median_nrmse_inflation,mean_nrmse_inflation,paired_segment_ci95_low,paired_segment_ci95_high,median_relative_nrmse_inflation,mean_relative_nrmse_inflation,p90_relative_nrmse_inflation,useful_horizon,criterion,exact_useful_horizon,useful_horizon_change_from_exact,median,p90,principal_signs_preserved,stratum_pass,stratum_pass_fraction_within_shot,principal_sign_fraction_definition
F,AB_noaux,1,100,0.7424658860772922,0.422951844104131,0.4859133167721713,0.3923957025945966,0.5918059849592667,1.9161189853203984,2.14015451447257,3.628024717570169,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,2.320082509441844,3.947008252201334,True,False,0.5,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,1,300,0.6133921948787655,0.2939942618097964,0.3568396255736446,0.2761824393683174,0.4414934690305762,1.3968380862098613,1.5772328211868318,2.832566259641659,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,1.636012010574666,3.0428897957383088,True,False,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,1,1000,0.5048151572140692,0.2014007609393281,0.2482625879089482,0.1876491068870572,0.3144176132378751,1.0182910021572027,1.1060637888219722,2.075429051982317,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,1.1327763678630285,2.2652770348574025,True,False,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,1,3000,0.4394086230205462,0.1408666329740583,0.1828560537154252,0.1337676566542324,0.235177377450036,0.6784561672339944,0.8206694536359856,1.6336403784319868,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.8402646617130815,1.8027328999791128,True,False,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,1,10000,0.3908597217730314,0.1038915430050076,0.1343071524679105,0.09513194472375,0.1779241673512864,0.4944041867526147,0.6055098570333857,1.2645838186751794,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.6362231407206409,1.3929446327781931,True,False,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,2,100,0.8022238181429655,0.3473449441660308,0.4146540627399858,0.332091401858316,0.5085602537314807,1.1090757206057904,1.1651334633970822,1.9665043452814024,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,1.2356403022673037,2.123568183361215,True,False,0.5,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,2,300,0.6902399779527233,0.2372719768113106,0.3026702225497436,0.2356872171557955,0.3721073762895788,0.7816216908522642,0.8520275058521958,1.5211268337093558,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.8761739781457794,1.627280518994637,True,False,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,2,1000,0.5947736854019839,0.1618812379062174,0.207203929999004,0.1576813625872068,0.2625607164906666,0.5270736831773808,0.5864976514362632,1.112681595007821,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.5953532453986446,1.196401755417023,True,False,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,2,3000,0.5367867814689303,0.1129444235489975,0.1492170260659505,0.1051238443951457,0.1948387242819173,0.3606696907966377,0.4244184663299499,0.8394699995928031,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.445402458027088,0.918365295441795,True,False,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,2,10000,0.4919615567804927,0.0786770210744591,0.1043918013775129,0.072538033733215,0.1386551444181181,0.2494418255916564,0.297804071119407,0.6173268180270308,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.3111330658880167,0.6905205073633014,True,False,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,4,100,0.92311001592982,0.2219168418508752,0.2790078708397047,0.2136216651937833,0.3477330572796827,0.4295500968791291,0.4555977486629158,0.8423434502504972,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.4501674337545155,0.8673433867799754,True,False,0.5,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
