construction,set,useful_horizon,useful_horizon_ms,nrmse_at_useful_horizon,persistence_improvement_mean,persistence_improvement_ci95_lo,persistence_improvement_ci95_hi,bootstrap_resamples,criterion
AB_noaux,F,8.0,46.08029491388744,0.914847798571086,0.1931374962592169,0.155993298896175,0.2315366141309071,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
AR,F,8.0,46.08029491388744,0.940654529104633,0.16733076572567,0.1346752997554444,0.2026252330829213,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
ESN,F,8.0,46.08029491388744,0.933216289069436,0.1747690057608667,0.1322892748951303,0.2155329471269985,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
ESN_66,F,8.0,46.08029491388744,0.932677436683414,0.1753078581468886,0.1405569614875775,0.2117973954826304,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
NVAR2,F,8.0,46.08029491388744,0.9440419033290864,0.1639433915012165,0.1210281620753327,0.2065481684282135,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
QRC_K0,F,8.0,46.08029491388744,0.9279934217486326,0.1799918730816701,0.1471304078385585,0.2140862445091203,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
dual_kernel,F,8.0,46.08029491388744,0.9071379811183382,0.2008473137119646,0.1662014618810902,0.2358665613952695,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
persistence,F,,,,,,,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
single_kernel,F,8.0,46.08029491388744,0.9100479027237884,0.1979373921065142,0.1652906180752622,0.2306301820383243,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
tapped_delay,F,8.0,46.08029491388744,0.9426790114798538,0.165306283350449,0.136506876439706,0.1962287508649978,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
triangular,F,8.0,46.08029491388744,0.90982796685485,0.1981573279754528,0.1648873910581815,0.2318267469737283,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
uniform,F,8.0,46.08029491388744,0.9150562122007572,0.1929290826295454,0.162597396545438,0.2222464576959988,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
AB_noaux,S,32.0,184.32117965554977,0.9942219065746422,0.3081689031649232,0.2468309351409866,0.3645990840781591,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
AR,S,16.0,92.16058982777488,0.9757638420694348,0.5999962422233437,0.494866506326947,0.6966681252776242,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
ESN,S,32.0,184.32117965554977,0.9964306985771874,0.3059601111623776,0.2417100915304247,0.3650279450256864,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
ESN_66,S,32.0,184.32117965554977,0.99735168444499,0.3050391252945751,0.2394776823426827,0.3653447567694187,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
NVAR2,S,32.0,184.32117965554977,0.9995925824813908,0.3027982272581742,0.2408010550463979,0.3593085621579728,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
QRC_K0,S,32.0,184.32117965554977,0.998277552066982,0.304113257672583,0.2412525270162017,0.3621666679164217,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
dual_kernel,S,32.0,184.32117965554977,0.9941445908846134,0.3082462188549516,0.2471241676760765,0.3647081113316508,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
persistence,S,,,,,,,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
single_kernel,S,32.0,184.32117965554977,0.9954081314726456,0.3069826782669197,0.2452008521605758,0.3637744816636306,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
tapped_delay,S,32.0,184.32117965554977,0.9996269337957736,0.3027638759437915,0.2398743153015799,0.3605222720607705,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
triangular,S,32.0,184.32117965554977,0.9953355678648208,0.3070552418747444,0.2454213787314851,0.3637849871124636,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
uniform,S,32.0,184.32117965554977,0.9948236120147612,0.3075671977248041,0.2458579498472953,0.3642687692209723,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
AB_noaux,Z,16.0,92.16058982777488,0.9877306140235728,0.2203091439718418,0.1896443885432082,0.2487661977715055,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
AR,Z,8.0,46.08029491388744,0.9717443225046916,0.2711799330593741,0.2360178357271528,0.3060644568202569,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
ESN,Z,8.0,46.08029491388744,0.9901870977227476,0.2527371578413181,0.2120733243159537,0.2936381182644915,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
ESN_66,Z,8.0,46.08029491388744,0.9982627843332024,0.2446614712308633,0.2028213606713665,0.2866028440549198,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
NVAR2,Z,8.0,46.08029491388744,0.9721761043186152,0.2707481512454506,0.2356345452985353,0.3055656575327712,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
QRC_K0,Z,16.0,92.16058982777488,0.9973898479750531,0.2106499100203612,0.1807215123554725,0.2396106887819536,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
dual_kernel,Z,16.0,92.16058982777488,0.986156220251812,0.2218835377436024,0.1915173276164604,0.2504812353872668,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
persistence,Z,,,,,,,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
single_kernel,Z,16.0,92.16058982777488,0.9872885451695572,0.220751212825857,0.1901923349355281,0.2493309849599864,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
tapped_delay,Z,8.0,46.08029491388744,0.9882900619316342,0.2546341936324315,0.2146588876620806,0.2947763758887156,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
triangular,Z,16.0,92.16058982777488,0.986940120669808,0.2210996373256063,0.1905062382400418,0.2496608888037417,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
uniform,Z,16.0,92.16058982777488,0.9878151858845204,0.2202245721108937,0.1897659612536138,0.2488162697009339,10000,mean NRMSE < 1 and paired-bootstrap lower CI(persistence - model) > 0
