analysis,scenario,metric,value
centered_correlation,ALL,pearson_r,0.9608914509284455
centered_correlation,ALL,spearman_rho,0.7617286914765906
scenario_fixed_effect_regression,ALL,predicted_slope_coefficient,0.52107490691628
pairwise_accuracy,ar1_phi030,accuracy_10_pairs,0.1
predicted_model_regret,ar1_phi030,measured_slope_regret,1.3274429036899509e-05
top2_match,ar1_phi030,predicted_winner_in_measured_top2,0.0
ci_tie_match,ar1_phi030,predicted_winner_indistinguishable,1.0
scenario_intercept,ar1_phi030,fixed_effect_intercept,0.0018564257033892562
pairwise_accuracy,ar1_phi060,accuracy_10_pairs,0.9
predicted_model_regret,ar1_phi060,measured_slope_regret,0.0
top2_match,ar1_phi060,predicted_winner_in_measured_top2,1.0
ci_tie_match,ar1_phi060,predicted_winner_indistinguishable,1.0
scenario_intercept,ar1_phi060,fixed_effect_intercept,0.010156202920557607
pairwise_accuracy,ar1_phi085,accuracy_10_pairs,0.6
predicted_model_regret,ar1_phi085,measured_slope_regret,0.0
top2_match,ar1_phi085,predicted_winner_in_measured_top2,1.0
ci_tie_match,ar1_phi085,predicted_winner_indistinguishable,1.0
scenario_intercept,ar1_phi085,fixed_effect_intercept,0.028967563405909905
pairwise_accuracy,ar1_phi095,accuracy_10_pairs,0.6
predicted_model_regret,ar1_phi095,measured_slope_regret,3.8824781932900176e-05
top2_match,ar1_phi095,predicted_winner_in_measured_top2,1.0
ci_tie_match,ar1_phi095,predicted_winner_indistinguishable,1.0
scenario_intercept,ar1_phi095,fixed_effect_intercept,0.051924220562938876
pairwise_accuracy,ar2_rho075_f012,accuracy_10_pairs,0.9
predicted_model_regret,ar2_rho075_f012,measured_slope_regret,0.0
top2_match,ar2_rho075_f012,predicted_winner_in_measured_top2,1.0
ci_tie_match,ar2_rho075_f012,predicted_winner_indistinguishable,1.0
scenario_intercept,ar2_rho075_f012,fixed_effect_intercept,0.019987138909559474
pairwise_accuracy,ar2_rho090_f012,accuracy_10_pairs,0.9
predicted_model_regret,ar2_rho090_f012,measured_slope_regret,0.0
top2_match,ar2_rho090_f012,predicted_winner_in_measured_top2,1.0
ci_tie_match,ar2_rho090_f012,predicted_winner_indistinguishable,1.0
