seed,model,K,conditional_T_eff,full_mean_lag,companion_spectral_radius,companion_stable,fixed_iterations,fixed_final_difference,companion_dimension
1,QRC_K0,0,0.0,0.0,0.9162139016956247,True,296,9.454397506176486e-14,255
1,AB_noaux,5,5.0,1.5,0.9667861161461913,True,296,9.454397506176486e-14,1530
1,single_kernel,15,3.2617802078195823,0.9785340623458747,0.9587240324199373,True,296,9.454397506176486e-14,4080
1,triangular,15,5.666666666666666,1.7000000000000002,0.9700153671403666,True,296,9.454397506176486e-14,4080
1,uniform,15,8.0,2.4,0.9762606052415206,True,296,9.454397506176486e-14,4080
2,QRC_K0,0,0.0,0.0,0.9650018052937385,True,672,9.982327978049304e-14,255
2,AB_noaux,5,5.0,1.5,0.9860569229432097,True,672,9.982327978049304e-14,1530
2,single_kernel,15,3.2617802078195823,0.9785340623458747,0.9824955355747997,True,672,9.982327978049304e-14,4080
2,triangular,15,5.666666666666666,1.7000000000000002,0.9872250344870934,True,672,9.982327978049304e-14,4080
2,uniform,15,8.0,2.4,0.9898709755084245,True,672,9.982327978049304e-14,4080
3,QRC_K0,0,0.0,0.0,0.9780510204865487,True,1020,9.79047689589236e-14,255
3,AB_noaux,5,5.0,1.5,0.9912428968021088,True,1020,9.79047689589236e-14,1530
3,single_kernel,15,3.2617802078195823,0.9785340623458747,0.9889787204903713,True,1020,9.79047689589236e-14,4080
3,triangular,15,5.666666666666666,1.7000000000000002,0.991944889238054,True,1020,9.79047689589236e-14,4080
3,uniform,15,8.0,2.4,0.9936098706262457,True,1020,9.79047689589236e-14,4080
