scenario,model,horizon,predicted_nrmse,measured_nrmse
ar1_phi030,AB_noaux,1,0.9553634604356552,0.956514589578478
ar1_phi030,AB_noaux,2,0.9958642696263643,0.9960346488977565
ar1_phi030,AB_noaux,4,1.0009297553215082,1.0009891790424428
ar1_phi030,AB_noaux,8,1.001080650001535,1.0010719752402168
ar1_phi030,AB_noaux,16,1.0011455859007443,1.0011620392594591
ar1_phi030,AB_noaux,32,1.0009572542186072,1.0009816559542382
ar1_phi030,AB_noaux,64,1.0011567445714447,1.0011954490285415
ar1_phi030,AB_noaux,128,1.0005555093540783,1.0005409396362495
ar1_phi030,QRC_K0,1,0.9555267556821649,0.9566790681432971
ar1_phi030,QRC_K0,2,0.995896704224125,0.9960446995773439
ar1_phi030,QRC_K0,4,1.0010086763543742,1.0009939349275188
ar1_phi030,QRC_K0,8,1.0010833649979554,1.0010819234025596
ar1_phi030,QRC_K0,16,1.0011272613338622,1.00114476109204
ar1_phi030,QRC_K0,32,1.0011078035334535,1.0011556633041743
ar1_phi030,QRC_K0,64,1.001332764280533,1.0011884281338523
ar1_phi030,QRC_K0,128,1.000597812056033,1.0006069738532295
ar1_phi030,single_kernel,1,0.9553906719737078,0.9564562299503341
ar1_phi030,single_kernel,2,0.9958622644030475,0.9960150676059365
ar1_phi030,single_kernel,4,1.0009500839187495,1.0009992533853047
ar1_phi030,single_kernel,8,1.001029433403221,1.0010551306133888
ar1_phi030,single_kernel,16,1.0010882931464105,1.0010933165102087
ar1_phi030,single_kernel,32,1.0010138376805746,1.0010387960573912
ar1_phi030,single_kernel,64,1.0011567101760896,1.001171134096772
ar1_phi030,single_kernel,128,1.000546904625051,1.0005428960737555
ar1_phi030,triangular,1,0.9553674003157668,0.956400554992766
ar1_phi030,triangular,2,0.9958373418320252,0.9959991227566403
ar1_phi030,triangular,4,1.0009270530025558,1.0009956716056576
ar1_phi030,triangular,8,1.0010313225244976,1.0010597871419515
ar1_phi030,triangular,16,1.0010967148786087,1.001112065410527
ar1_phi030,triangular,32,1.000987140140352,1.0010283607404518
ar1_phi030,triangular,64,1.0011247345068899,1.0011509487612484
ar1_phi030,triangular,128,1.0005328703673504,1.0005270307543852
ar1_phi030,uniform,1,0.9556326703688153,0.9563829424347963
ar1_phi030,uniform,2,0.9958213983592219,0.9959865534838939
ar1_phi030,uniform,4,1.0009152014243645,1.0009951685109875
ar1_phi030,uniform,8,1.0010220616143861,1.0010572922701562
ar1_phi030,uniform,16,1.0011025507580422,1.001125485822432
ar1_phi030,uniform,32,1.0009987592131007,1.0010512178191153
ar1_phi030,uniform,64,1.001064077435788,1.0011081013153476
ar1_phi030,uniform,128,1.0005346727034883,1.0005305105743247
ar1_phi060,AB_noaux,1,0.7984042873113277,0.8008841507955942
ar1_phi060,AB_noaux,2,0.9313124730503765,0.9308827303505244
ar1_phi060,AB_noaux,4,0.9912706429174807,0.991557019460757
